Sample ,Cq
R7,19.49199087
R7,19.42019299
R7,19.30930904
R14,20.38686365
R14,20.20181099
R14,19.84699068
e4,21.88496241
e4,22.13126089
e4,22.1146944
R8,21.84689443
R8,21.7228651
R8,21.38099992
R15,17.35263351
R15,17.57317362
R15,17.18658567
R9,21.58993775
R9,21.1664141
R9,20.65769286
R16,18.04667004
R16,17.15175831
R16,16.82985687
R11,24.36328495
R11,24.07723848
R11,23.66259883
R17,17.74784531
R17,18.85904103
R17,17.70623003
R12,21.27029415
R12,21.44404388
R12,20.52209101
R18,18.15368149
R18,23.03116462
R18,29.31952618
R13,19.08622965
R13,18.78727146
R13,21.28467521
R19,16.68293279
R19,16.68869988
R19,16.44850796
C7,21.31875682
C7,21.23301075
C7,21.16555097
C14,23.12112578
C14,23.31899857
C14,23.02896273
C8,25.37682192
C8,25.04224315
C8,24.60754644
C15,20.61323985
C15,20.54460926
C15,20.49448634
C9,23.72581075
C9,23.95801812
C9,23.60916726
C16,19.66077561
C16,20.01671744
C16,20.09461375
C11,26.5872409
C11,26.97507413
C11,26.27900885
C17,20.48148515
C17,20.56096031
C17,20.67657359
C12,23.2674349
C12,23.64165593
C12,23.36140464
C18,20.7154557
C18,21.13389461
C18,20.57787584
C13,21.32687233
C13,21.13188965
C13,21.48671665
C19,20.34988676
C19,20.06537244
C19,20.20335314
C7,16.3832505
C7,16.57042937
C7,16.32396612
C14,17.49745091
C14,17.42686255
C14,17.38318921
C8,17.82945917
C8,17.40282774
C8,17.27592434
C15,22.04290893
C15,22.17114179
C15,22.05893163
C9,18.66117723
C9,18.46968174
C9,18.24336393
C16,17.58438023
C16,17.67451223
C16,17.39416365
C11,17.54135042
C11,17.20601621
C11,17.12932238
C17,17.00058848
C17,16.97073154
C17,16.88278074
C12,18.07810945
C12,17.83052547
C12,17.58589548
C18,21.29397069
C18,21.4516522
C18,21.37477242
C13,17.76096507
C13,17.58228918
C13,17.65142521
C19,15.49459381
C19,15.42963288
C19,15.42690221
B7,15.44439894
B7,15.49815379
B7,15.36774724
B14,18.52238042
B14,18.53994088
B14,18.6442304
B8,17.01481263
B8,16.87830381
B8,16.84459566
B15,19.32202814
B15,19.53686827
B15,19.50452938
B9,17.39702409
B9,17.38796136
B9,17.1596909
B16,16.48569567
B16,16.49177167
B16,16.40232756
B11,18.75449146
B11,18.66949072
B11,18.4445032
B17,18.2425583
B17,18.314097
B17,18.33301232
B12,19.61779789
B12,19.10688274
B12,19.23991675
B18,17.5076175
B18,17.9427656
B18,18.13677045
B13,18.39196022
B13,17.65711926
B13,20.3171462
B19,17.32974578
B19,17.64951461
B19,17.73117738
BO_2,15.86370625
BO_2,15.60095689
BO_2,15.20158987
C2_2,22.02107471
C2_2,22.01580476
C2_2,21.79901852
RD_2,18.97412701
RD_2,18.72203576
RD_2,19.01625158
BO_6,12.24676077
BO_6,13.04052458
BO_6,13.16612377
C2_6,18.19710685
C2_6,17.87749763
C2_6,17.78586493
RD_6,17.2386835
RD_6,17.4348743
RD_6,17.34281674
BO_3,17.92160744
BO_3,17.80193296
BO_3,17.42923904
C2_3,20.50476326
C2_3,20.423698
C2_3,20.24503687
RD_3,20.07744212
RD_3,19.74640591
RD_3,20.01296987
BO_8,13.93456049
BO_8,13.66115535
BO_8,13.32531554
C2_8,15.13026963
C2_8,15.18013026
C2_8,15.05946708
RD_8,17.36928595
RD_8,17.40696848
RD_8,17.16473615
BO_4,16.23566724
BO_4,16.08487118
BO_4,15.87735633
C2_4,22.11454458
C2_4,21.63298873
C2_4,21.54917169
RD_4,17.28181559
RD_4,17.10811893
RD_4,17.21031737
BO_9,13.30189212
BO_9,13.20870782
BO_9,12.44633788
C2_9,16.70248214
C2_9,16.80322798
C2_9,16.96766432
RD_9,18.51073637
RD_9,18.88180598
RD_9,18.82433804
BO_5_11,13.33066782
BO_5_11,12.66115568
BO_5_11,12.37460272
C2_5_11,21.3774695
C2_5_11,22.00082977
C2_5_11,21.2803224
RD_5_11,20.48170269
RD_5_11,20.67620213
RD_5_11,20.511618
BO_10,13.60936282
BO_10,13.60409254
BO_10,13.39842647
C2_10,17.14452324
C2_10,17.10232055
C2_10,17.31463381
RD_10,17.03749078
RD_10,17.44435173
RD_10,17.17486993
BO_5_20,15.58330232
BO_5_20,15.76317352
BO_5_20,14.77587059
C2_5_20,20.01989929
C2_5_20,19.40865632
C2_5_20,19.06888793
RD_5_20,17.6780641
RD_5_20,17.89746486
RD_5_20,17.23320273
BO_11,18.76065422
BO_11,16.02201184
BO_11,15.63555624
C2_11,20.18057558
C2_11,20.32864718
C2_11,20.33660688
RD_11,16.20903325
RD_11,16.97129554
RD_11,16.5436652
BO_5_24,15.7398531
BO_5_24,12.79135487
BO_5_24,13.52058133
C2_5_24,19.50333217
C2_5_24,18.56473023
C2_5_24,18.47990305
RD_5_24,17.61926048
RD_5_24,17.09510274
RD_5_24,17.06594369
BO_12,15.19597738
BO_12,15.23534173
BO_12,15.2208541
C2_12,15.49377417
C2_12,15.10094465
C2_12,15.39337962
RD_12,24.46214657
RD_12,24.47137478
RD_12,24.42294741
