Well,Fluor,Target,Content,Sample,Cq,SQ
A01,FAM,,Unkn,7,NaN,NaN
A02,FAM,,Unkn,7,NaN,NaN
A03,FAM,,Unkn,7,NaN,NaN
A05,FAM,,Unkn,14,NaN,NaN
A06,FAM,,Unkn,14,NaN,NaN
A07,FAM,,Unkn,14,NaN,NaN
A10,FAM,,Unkn,Feb,NaN,NaN
A11,FAM,,Unkn,Feb,NaN,NaN
A13,FAM,,Unkn,Jun,NaN,NaN
A14,FAM,,Unkn,Jun,NaN,NaN
A15,FAM,,Unkn,Jun,NaN,NaN
C01,FAM,,Unkn,8,NaN,NaN
C02,FAM,,Unkn,8,NaN,NaN
C03,FAM,,Unkn,8,NaN,NaN
C05,FAM,,Unkn,15,NaN,NaN
C06,FAM,,Unkn,15,NaN,NaN
C07,FAM,,Unkn,15,NaN,NaN
C09,FAM,,Unkn,Mar,NaN,NaN
C11,FAM,,Unkn,Mar,NaN,NaN
C13,FAM,,Unkn,Aug,NaN,NaN
E01,FAM,,Unkn,9,NaN,NaN
E02,FAM,,Unkn,9,NaN,NaN
E03,FAM,,Unkn,9,NaN,NaN
E05,FAM,,Unkn,16,NaN,NaN
E07,FAM,,Unkn,16,NaN,NaN
E09,FAM,,Unkn,Apr,NaN,NaN
E11,FAM,,Unkn,Apr,NaN,NaN
E13,FAM,,Unkn,Sept,NaN,NaN
E14,FAM,,Unkn,Sept,NaN,NaN
E15,FAM,,Unkn,Sept,NaN,NaN
G01,FAM,,Unkn,11,NaN,NaN
G02,FAM,,Unkn,11,NaN,NaN
G03,FAM,,Unkn,11,NaN,NaN
G05,FAM,,Unkn,17,NaN,NaN
G06,FAM,,Unkn,17,NaN,NaN
G09,FAM,,Unkn,May_11,NaN,NaN
G15,FAM,,Unkn,Oct,NaN,NaN
I01,FAM,,Unkn,12,NaN,NaN
I02,FAM,,Unkn,12,NaN,NaN
I03,FAM,,Unkn,12,NaN,NaN
I05,FAM,,Unkn,18,NaN,NaN
K01,FAM,,Unkn,13,NaN,NaN
K03,FAM,,Unkn,13,NaN,NaN
K09,FAM,,Unkn,May_24,14.52094116,NaN
K13,FAM,,Unkn,Dec,14.5682929,NaN
I10,FAM,,Unkn,May_20,15.61302833,NaN
G13,FAM,,Unkn,Oct,16.25033183,NaN
I06,FAM,,Unkn,18,16.86415454,NaN
G14,FAM,,Unkn,Oct,18.05473767,NaN
G11,FAM,,Unkn,May_11,18.25559965,NaN
I09,FAM,,Unkn,May_20,18.50331135,NaN
G10,FAM,,Unkn,May_11,18.65463598,NaN
K14,FAM,,Unkn,Dec,19.75697131,NaN
K06,FAM,,Unkn,19,19.99055062,NaN
K15,FAM,,Unkn,Dec,20.05207544,NaN
I11,FAM,,Unkn,May_20,20.84590179,NaN
K07,FAM,,Unkn,19,21.11220307,NaN
E10,FAM,,Unkn,Apr,21.64632472,NaN
K05,FAM,,Unkn,19,21.70876733,NaN
I07,FAM,,Unkn,18,22.23219761,NaN
E06,FAM,,Unkn,16,22.63510767,NaN
I14,FAM,,Unkn,Nov,23.23019307,NaN
K02,FAM,,Unkn,13,24.14182163,NaN
G07,FAM,,Unkn,17,24.78741038,NaN
K10,FAM,,Unkn,May_24,33.39191093,NaN
I15,FAM,,Unkn,Nov,34.29476426,NaN
A09,FAM,,Unkn,Feb,34.84979666,NaN
I13,FAM,,Unkn,Nov,35.24466663,NaN
C10,FAM,,Unkn,Mar,35.42795503,NaN
K11,FAM,,Unkn,May_24,35.62596751,NaN
C15,FAM,,Unkn,Aug,35.6534771,NaN
C14,FAM,,Unkn,Aug,35.76938336,NaN
