Sample,Cq
B_8,26.57926988
B_8,26.51528358
B_8,26.4958045
B_Feb,26.49857929
B_Feb,26.21275218
B_Feb,26.28355597
C_9,26.49900792
C_9,26.34465233
C_9,26.44432139
R_apr,26.29540445
R_apr,26.28439772
R_apr,26.39424656
R_16,26.39986041
R_16,26.3470353
R_16,26.29004643
R_5_20,26.21163289
R_5_20,26.1743506
R_5_20,26.36951703
C_18,26.57033984
C_18,26.5852883
C_18,26.52323674
C_Nov,26.14330118
C_Nov,26.15889873
C_Nov,26.27283874
B_19,26.3077114
B_19,26.66194321
B_19,26.20898961
B_Dec,26.11820135
B_Dec,26.27330947
B_Dec,26.27221205
BO_5_11,44.52042663
C2_12,44.42027386
C2_8,44.15584956
C2_6,44.01422251
C2_12,43.35445299
RD_5_20,43.07694045
C2_12,42.91609027
RD_11,42.66953509
C2_4,42.5746972
BO_6,42.35392644
RD_8,41.38648214
RD_5_20,41.23867548
C2_9,41.07281166
RD_12,40.98397438
BO_10,40.49625623
RD_11,40.19767935
RD_5_20,40.16444756
C2_2,40.08604484
RD_11,40.06105682
C2_3,39.86853415
BO_5_24,39.74056743
BO_9,39.66367315
C2_5_20,39.65485777
BO_12,39.55675437
BO_5_11,39.39306054
C2_5_24,39.20245108
BO_2,38.87972482
BO_10,38.67851034
BO_8,38.54038168
RD_8,38.3530037
RD_8,37.81127858
RD_5_11,37.41468659
RD_4,37.39276803
RD_5_11,37.2059527
RD_5_11,37.14659032
RD_4,36.45414024
RD_4,35.92558414
BO_11,34.40349642
BO_11,33.78042925
BO_11,33.61153304
C2_11,33.27365975
C2_11,33.05554313
C2_11,32.89188647
BO_2,NaN
BO_2,NaN
BO_6,NaN
BO_6,NaN
C2_2,NaN
C2_2,NaN
C2_6,NaN
C2_6,NaN
RD_ 2,NaN
RD_ 2,NaN
RD_ 2,NaN
RD_6,NaN
RD_6,NaN
RD_6,NaN
BO_3,NaN
BO_3,NaN
BO_3,NaN
BO_8,NaN
BO_8,NaN
C2_3,NaN
C2_3,NaN
C2_8,NaN
C2_8,NaN
RD_3,NaN
RD_3,NaN
RD_3,NaN
BO_4,NaN
BO_4,NaN
BO_4,NaN
BO_9,NaN
BO_9,NaN
C2_4,NaN
C2_4,NaN
C2_9,NaN
C2_9,NaN
RD_9,NaN
RD_9,NaN
RD_9,NaN
BO_5_11,NaN
BO_10,NaN
C2_5_11,NaN
C2_5_11,NaN
C2_5_11,NaN
C2_10,NaN
C2_10,NaN
C2_10,NaN
RD_10,NaN
RD_10,NaN
RD_10,NaN
BO_5_20,NaN
BO_5_20,NaN
BO_5_20,NaN
C2_5_20,NaN
C2_5_20,NaN
BO_5_24,NaN
BO_5_24,NaN
BO_12,NaN
BO_12,NaN
C2_5_24,NaN
C2_5_24,NaN
RD_5_24,NaN
RD_5_24,NaN
RD_5_24,NaN
RD_12,NaN
RD_12,NaN
R7,43.74270698
R9,43.63641118
R14,42.94950839
R19,42.66963537
R7,41.39951162
R12,41.31509303
R17,41.24902678
R13,41.2161205
R17,41.08989863
R17,40.92868285
R15,40.45504885
R15,40.42268806
R15,40.03130544
R12,39.85972642
R14,39.70077489
R18,39.66694749
R12,39.22764463
R7,38.96991353
R14,38.95137543
R16,38.92165572
Vc_1_10,38.8375705
R16,38.74088111
R16,38.65648287
R19,38.04778807
R13,37.54414184
R13,37.38721596
Vc_1_10,NaN
Vc_1_10,NaN
R8,NaN
R8,NaN
R8,NaN
Vp_1_10,NaN
Vp_1_10,NaN
Vp_1_10,NaN
R9,NaN
R9,NaN
Vv_1_10,NaN
Vv_1_10,NaN
Vv_1_10,NaN
R11,NaN
R11,NaN
R11,NaN
R18,NaN
R18,NaN
R19,NaN
B7,NaN
B7,NaN
B7,42.77386062
B14,38.85714274
B14,NaN
B14,NaN
C7,NaN
C7,44.99311524
C7,NaN
C14,NaN
C14,NaN
C14,35.40770135
B8,NaN
B8,40.02030048
B8,NaN
B15,NaN
B15,NaN
B15,NaN
C8,NaN
C8,NaN
C8,NaN
C15,NaN
C15,NaN
C15,NaN
B9,NaN
B9,NaN
B9,NaN
B16,NaN
B16,NaN
B16,44.01439771
C9,35.19608296
C9,NaN
C9,NaN
C16,38.37407521
C16,NaN
C16,38.93917745
B11,NaN
B11,NaN
B11,NaN
B17,NaN
B17,NaN
B17,NaN
C11,38.30438106
C11,32.8610266
C11,NaN
C17,NaN
C17,39.88332633
C17,38.85726507
B12,NaN
B12,NaN
B12,NaN
B18,NaN
B18,NaN
B18,NaN
C12,39.11675781
C12,NaN
C12,NaN
C18,NaN
C18,NaN
C18,35.46233703
B13,NaN
B13,NaN
B13,NaN
B19,NaN
B19,NaN
B19,38.95858149
C13,39.2275148
C13,NaN
C13,NaN
C19,41.2169141
C19,38.44842306
C19,40.77958408
