Sample,Cq
BO_2,NaN
BO_2,38.82813075
BO_2,43.64866125
C2_2,NaN
C2_2,NaN
C2_2,NaN
RD_2,NaN
RD_2,NaN
RD_2,NaN
BO_6,36.72214213
BO_6,NaN
BO_6,36.64788609
C2_6,NaN
C2_6,NaN
C2_6,NaN
RD_6,NaN
RD_6,NaN
RD_6,NaN
BO_3,NaN
BO_3,NaN
BO_3,NaN
C2_3,NaN
C2_3,NaN
C2_3,NaN
RD_3,NaN
RD_3,NaN
RD_3,NaN
BO_8,NaN
BO_8,NaN
BO_8,NaN
C2_8,NaN
C2_8,NaN
C2_8,NaN
RD_8,NaN
RD_8,NaN
RD_8,NaN
BO_4,NaN
BO_4,NaN
BO_4,NaN
C2_4,NaN
C2_4,NaN
C2_4,NaN
RD_4,NaN
RD_4,NaN
RD_4,NaN
BO_9,NaN
BO_9,37.49542048
BO_9,NaN
C2_9,NaN
C2_9,NaN
C2_9,NaN
RD_9,NaN
RD_9,NaN
RD_9,NaN
BO_5_11,NaN
BO_5_11,NaN
BO_5_11,NaN
C2_5_11,NaN
C2_5_11,NaN
C2_5_11,NaN
RD_5_11,NaN
RD_5_11,NaN
RD_5_11,NaN
BO_10,32.91608926
BO_10,34.19792983
BO_10,33.38747615
C2_10,NaN
C2_10,NaN
C2_10,NaN
RD_10,NaN
RD_10,NaN
RD_10,NaN
BO_5_20,37.76550712
BO_5_20,NaN
BO_5_20,36.28300256
C2_5_20,NaN
C2_5_20,NaN
C2_5_20,NaN
RD_5_20,NaN
RD_5_20,NaN
RD_5_20,NaN
BO_11,NaN
BO_11,NaN
BO_11,NaN
C2_11,NaN
C2_11,NaN
C2_11,NaN
RD_11,NaN
RD_11,40.26254185
RD_11,NaN
BO_5_24,36.48837494
BO_5_24,36.41996713
BO_5_24,35.25607292
C2_5_24,NaN
C2_5_24,NaN
C2_5_24,NaN
RD_5_24,NaN
RD_5_24,NaN
RD_5_24,NaN
BO_12,NaN
BO_12,NaN
BO_12,NaN
C2_12,NaN
C2_12,NaN
C2_12,NaN
RD_12,37.38480102
RD_12,NaN
RD_12,NaN
BO7,NaN
BO7,NaN
BO7,40.00779203
BO14,NaN
BO14,36.30067659
BO14,NaN
C27,NaN
C27,NaN
C27,NaN
C214,NaN
C214,NaN
C214,NaN
RD7,NaN
RD7,NaN
RD7,NaN
RD14,NaN
RD14,NaN
RD14,NaN
BO8,35.27343061
BO8,34.62495556
BO8,35.35708035
BO15,NaN
BO15,NaN
BO15,NaN
C28,NaN
C28,NaN
C28,NaN
C215,NaN
C215,35.81128529
C215,NaN
RD8,NaN
RD8,NaN
RD8,NaN
RD15,NaN
RD15,NaN
RD15,42.3753416
BO9,NaN
BO9,NaN
BO9,35.54873409
BO16,NaN
BO16,36.08744477
BO16,NaN
C29,NaN
C29,NaN
C29,NaN
C216,NaN
C216,41.81510425
C216,NaN
RD9,NaN
RD9,NaN
RD9,NaN
RD16,NaN
RD16,NaN
RD16,NaN
BO11,44.94213355
BO11,NaN
BO11,NaN
BO17,37.53424334
BO17,NaN
BO17,35.13745217
C211,NaN
C211,NaN
C211,NaN
C217,NaN
C217,42.06686696
C217,NaN
RD11,NaN
RD11,NaN
RD11,NaN
RD17,36.01902493
RD17,NaN
RD17,NaN
BO12,NaN
BO12,NaN
BO12,NaN
BO18,NaN
BO18,NaN
BO18,NaN
C212,NaN
C212,NaN
C212,36.40204673
C218,NaN
C218,NaN
C218,43.97082155
RD12,NaN
RD12,NaN
RD12,NaN
RD18,NaN
RD18,NaN
RD18,NaN
BO13,NaN
BO13,NaN
BO13,NaN
BO19,35.04081996
BO19,NaN
BO19,40.51105711
C213,NaN
C213,NaN
C213,NaN
C219,NaN
C219,NaN
C219,NaN
RD13,NaN
RD13,NaN
RD13,NaN
RD19,NaN
RD19,NaN
RD19,36.02535998
BO_7,NaN
BO_7,NaN
BO_7,NaN
BO_14,NaN
BO_14,NaN
BO_14,NaN
BO_8,NaN
BO_8,NaN
BO_8,37.29105479
BO_15,NaN
BO_15,NaN
BO_15,NaN
BO_9,NaN
BO_9,NaN
BO_9,NaN
BO_16,NaN
BO_16,35.81859092
BO_16,NaN
BO_11,NaN
BO_11,NaN
BO_11,NaN
BO_17,NaN
BO_17,NaN
BO_17,NaN
BO_12,NaN
BO_12,NaN
BO_12,NaN
BO_18,NaN
BO_18,NaN
BO_18,NaN
BO_13,NaN
BO_13,NaN
BO_13,NaN
BO_19,36.5961135
BO_19,36.66512
BO_19,NaN
BO_7,NaN
BO_7,NaN
BO_7,NaN
BO_14,NaN
BO_14,NaN
BO_14,NaN
