Sample,Cq
BO_2,NaN
BO_2,NaN
BO_2,NaN
C2_2,NaN
C2_2,NaN
C2_2,NaN
RD_2,NaN
RD_2,NaN
RD_2,NaN
BO_6,36.96066406
BO_6,36.6504568
BO_6,37.93681636
C2_6,NaN
C2_6,NaN
C2_6,NaN
RD_6,NaN
RD_6,NaN
RD_6,NaN
BO_3,NaN
BO_3,NaN
BO_3,NaN
C2_3,NaN
C2_3,NaN
C2_3,NaN
RD_3,NaN
RD_3,NaN
RD_3,NaN
BO_8,NaN
BO_8,NaN
BO_8,NaN
C2_8,NaN
C2_8,NaN
C2_8,NaN
RD_8,35.67477938
RD_8,35.92075955
RD_8,36.59702499
BO_4,NaN
BO_4,NaN
BO_4,NaN
C2_4,NaN
C2_4,NaN
C2_4,NaN
RD_4,NaN
RD_4,NaN
RD_4,NaN
BO_9,NaN
BO_9,NaN
BO_9,44.40536291
C2_9,NaN
C2_9,NaN
C2_9,NaN
RD_9,NaN
RD_9,NaN
RD_9,NaN
BO_5_11,NaN
BO_5_11,NaN
BO_5_11,NaN
C2_5_11,NaN
C2_5_11,NaN
C2_5_11,NaN
RD_5_11,NaN
RD_5_11,NaN
RD_5_11,NaN
BO_10,43.79279035
BO_10,NaN
BO_10,NaN
C2_10,NaN
C2_10,NaN
C2_10,NaN
RD_10,NaN
RD_10,NaN
RD_10,NaN
BO_5_20,NaN
BO_5_20,NaN
BO_5_20,NaN
C2_5_20,NaN
C2_5_20,NaN
C2_5_20,NaN
RD_5_20,NaN
RD_5_20,NaN
RD_5_20,NaN
BO_11,NaN
BO_11,NaN
BO_11,42.62343212
C2_11,NaN
C2_11,NaN
C2_11,NaN
RD_11,NaN
RD_11,NaN
RD_11,NaN
BO_5_24,NaN
BO_5_24,NaN
BO_5_24,NaN
C2_5_24,NaN
C2_5_24,NaN
C2_5_24,NaN
RD_5_24,NaN
RD_5_24,NaN
RD_5_24,NaN
BO_12,NaN
BO_12,NaN
BO_12,44.20440385
C2_12,NaN
C2_12,NaN
C2_12,NaN
RD_12,NaN
RD_12,NaN
RD_12,NaN
BO_7,NaN
BO_7,NaN
BO_7,35.10779035
BO_14,36.04319653
BO_14,NaN
BO_14,35.94245752
C2_7,NaN
C2_7,NaN
C2_7,NaN
C2_14,36.00132694
C2_14,37.16606663
C2_14,NaN
RD_7,NaN
RD_7,NaN
RD_7,NaN
RD_14,35.99092866
RD_14,36.40909785
RD_14,NaN
BO_8,35.38321359
BO_8,NaN
BO_8,NaN
BO_15,NaN
BO_15,36.90292132
BO_15,35.85292138
C2_8,36.36604665
C2_8,33.53072955
C2_8,36.14021757
C2_15,NaN
C2_15,37.39962079
C2_15,37.40489996
RD_8,36.78399485
RD_8,34.05386898
RD_8,36.14301621
RD_15,36.61434691
RD_15,35.85349573
RD_15,34.85396
BO_9,NaN
BO_9,NaN
BO_9,NaN
BO_16,34.26817508
BO_16,35.09094817
BO_16,35.71925431
C2_9,35.48960498
C2_9,NaN
C2_9,37.04084381
C2_16,34.5165875
C2_16,35.68021074
C2_16,37.44449563
RD_9,NaN
RD_9,34.5441565
RD_9,NaN
RD_16,36.48666923
RD_16,NaN
RD_16,35.36460063
BO_11,NaN
BO_11,NaN
BO_11,NaN
BO_17,36.79027268
BO_17,34.4651415
BO_17,35.72647309
C2_11,35.00269936
C2_11,36.51582546
C2_11,34.74195825
C2_17,37.09433478
C2_17,34.86066147
C2_17,34.20436687
RD_11,NaN
RD_11,35.5740614
RD_11,36.58924542
RD_17,NaN
RD_17,36.14518351
RD_17,36.21197655
BO_12,NaN
BO_12,NaN
BO_12,36.64226527
BO_18,35.58197
BO_18,35.54085746
BO_18,35.16917702
C2_12,36.68282684
C2_12,NaN
C2_12,36.49059736
C2_18,NaN
C2_18,37.89383736
C2_18,34.71735137
RD_12,NaN
RD_12,37.09114634
RD_12,NaN
RD_18,43.68047714
RD_18,NaN
RD_18,NaN
BO_13,NaN
BO_13,NaN
BO_13,NaN
BO_19,36.59697202
BO_19,34.56817874
BO_19,NaN
C2_13,34.75993955
C2_13,NaN
C2_13,NaN
C2_19,NaN
C2_19,NaN
C2_19,NaN
RD_13,NaN
RD_13,35.55011898
RD_13,35.18325639
RD_19,34.59222228
RD_19,27.74589927
RD_19,NaN
