,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std,,15.3947192032659,3710000
,A02,SYBR,,Std,,15.3392208018811,3710000
,A03,SYBR,,Std,,15.5038037678564,3710000
,A04,SYBR,,Std,,15.2508312124007,3710000
,A05,SYBR,,Std,,15.6475872043384,3710000
,C01,SYBR,,Std,,19.2759467835622,371000
,C02,SYBR,,Std,,19.1300718725644,371000
,C03,SYBR,,Std,,19.2090403659395,371000
,C04,SYBR,,Std,,18.8905434027628,371000
,C05,SYBR,,Std,,19.4314439726449,371000
,E01,SYBR,,Std,,23.1277415608737,37100
,E02,SYBR,,Std,,22.7978560302835,37100
,E03,SYBR,,Std,,22.6422919687604,37100
,E04,SYBR,,Std,,22.5516133560994,37100
,E05,SYBR,,Std,,23.1845225214636,37100
,G01,SYBR,,Std,,26.6075008553444,3710
,G02,SYBR,,Std,,26.4017524043321,3710
,G03,SYBR,,Std,,26.3985622496463,3710
,G04,SYBR,,Std,,26.4435796044035,3710
,G05,SYBR,,Std,,26.6504767960286,3710
,I01,SYBR,,Std,,30.229683583444,371
,I02,SYBR,,Std,,30.3377239219112,371
,I03,SYBR,,Std,,30.2534474595771,371
,I04,SYBR,,Std,,30.1489347523952,371
,I05,SYBR,,Std,,30.2818261885368,371
,K01,SYBR,,Std,,33.2291182630474,37.1
,K02,SYBR,,Std,,33.3348642699728,37.1
,K03,SYBR,,Std,,33.0090181826582,37.1
,K04,SYBR,,Std,,33.1851784064764,37.1
,K05,SYBR,,Std,,33.4879335738082,37.1
,M01,SYBR,,Std,,35.0135333049899,3.71
,M02,SYBR,,Std,,34.7971705250276,3.71
,M03,SYBR,,Std,,34.0082689177349,3.71
,M04,SYBR,,Std,,34.5866381654002,3.71
,M05,SYBR,,Std,,34.507835802642,3.71
,O01,SYBR,,Std,,34.9987563429221,0.371
,O02,SYBR,,Std,,34.2367164390303,0.371
,O03,SYBR,,Std,,34.554252113088,0.371
,O04,SYBR,,Std,,34.2784280201258,0.371
,O05,SYBR,,Std,,35.089891895863,0.371
,P20,SYBR,,NTC,NTC,33.8748851947321,NaN
,P21,SYBR,,NTC,NTC,33.5614728546437,NaN
,P22,SYBR,,NTC,NTC,33.0695830964436,NaN
,P23,SYBR,,NTC,NTC,33.4716971403429,NaN
,P24,SYBR,,NTC,NTC,33.7349964646259,NaN
