,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std,,13.2588299536113,6083000
,A02,SYBR,,Std,,13.5577511797099,6083000
,A03,SYBR,,Std,,13.5177827692318,6083000
,A04,SYBR,,Std,,13.5338076481454,6083000
,A05,SYBR,,Std,,13.4952703860995,6083000
,C01,SYBR,,Std,,17.1541929991403,608000
,C02,SYBR,,Std,,16.9869653561006,608000
,C03,SYBR,,Std,,17.0155336652299,608000
,C04,SYBR,,Std,,16.7668306507278,608000
,C05,SYBR,,Std,,16.9071815438168,608000
,E01,SYBR,,Std,,20.4174933141163,60800
,E02,SYBR,,Std,,20.314436084429,60800
,E03,SYBR,,Std,,20.5019703974208,60800
,E04,SYBR,,Std,,20.1399963596367,60800
,E05,SYBR,,Std,,20.2318332635835,60800
,G01,SYBR,,Std,,24.021215213022,6080
,G02,SYBR,,Std,,23.7889292623821,6080
,G03,SYBR,,Std,,23.6805352905731,6080
,G04,SYBR,,Std,,23.8252720243877,6080
,G05,SYBR,,Std,,23.6693166501137,6080
,I01,SYBR,,Std,,26.9641597777249,608
,I02,SYBR,,Std,,26.4371421665011,608
,I03,SYBR,,Std,,26.7017453414855,608
,I04,SYBR,,Std,,26.6962973255239,608
,I05,SYBR,,Std,,26.5505404904105,608
,K01,SYBR,,Std,,30.4887780412272,60.8
,K02,SYBR,,Std,,30.5533195210483,60.8
,K03,SYBR,,Std,,28.6216719374509,60.8
,K04,SYBR,,Std,,30.6827395171722,60.8
,K05,SYBR,,Std,,30.4775830351959,60.8
,M01,SYBR,,Std,,33.9044561428936,6.08
,M02,SYBR,,Std,,33.4231311133667,6.08
,M03,SYBR,,Std,,33.138055194986,6.08
,M04,SYBR,,Std,,34.8704168578179,6.08
,M05,SYBR,,Std,,34.233585372965,6.08
,O01,SYBR,,Std,,NaN,0.608
,O02,SYBR,,Std,,NaN,0.608
,O03,SYBR,,Std,,36.3888402357718,0.608
,O04,SYBR,,Std,,35.7057922329503,0.608
,O05,SYBR,,Std,,35.5930675185733,0.608
,P20,SYBR,,NTC,NTC,NaN,NaN
,P21,SYBR,,NTC,NTC,NaN,NaN
,P22,SYBR,,NTC,NTC,NaN,NaN
,P23,SYBR,,NTC,NTC,NaN,NaN
,P24,SYBR,,NTC,NTC,NaN,NaN
