,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std,,22.915345657323,3710000
,A02,SYBR,,Std,,22.7390759913928,3710000
,A03,SYBR,,Std,,22.3917779316514,3710000
,A04,SYBR,,Std,,21.4090983857305,3710000
,A05,SYBR,,Std,,20.0004602347062,3710000
,C01,SYBR,,Std,,26.1174256201743,371000
,C02,SYBR,,Std,,26.0352791270135,371000
,C03,SYBR,,Std,,25.8751470943506,371000
,C04,SYBR,,Std,,24.6402732724867,371000
,C05,SYBR,,Std,,23.4771645581062,371000
,E01,SYBR,,Std,,28.7677103146887,37100
,E02,SYBR,,Std,,28.6905380848984,37100
,E03,SYBR,,Std,,28.6338432840951,37100
,E04,SYBR,,Std,,28.3195070652716,37100
,E05,SYBR,,Std,,27.5130325702777,37100
,G01,SYBR,,Std,,32.4743223923843,3710
,G02,SYBR,,Std,,32.1076439152357,3710
,G03,SYBR,,Std,,32.2583577129457,3710
,G04,SYBR,,Std,,31.5644233381992,3710
,G05,SYBR,,Std,,30.8041449194749,3710
,I01,SYBR,,Std,,36.2268679651236,371
,I02,SYBR,,Std,,35.7164274988665,371
,I03,SYBR,,Std,,35.9715077865522,371
,I04,SYBR,,Std,,35.8048612768079,371
,I05,SYBR,,Std,,34.3587060625167,371
,K01,SYBR,,Std,,39.6427578192182,37.1
,K02,SYBR,,Std,,43.2288137904464,37.1
,K03,SYBR,,Std,,40.1136785147636,37.1
,K04,SYBR,,Std,,38.5922934525982,37.1
,K05,SYBR,,Std,,37.9494553083712,37.1
,M01,SYBR,,Std,,NaN,3.71
,M02,SYBR,,Std,,NaN,3.71
,M03,SYBR,,Std,,NaN,3.71
,M04,SYBR,,Std,,40.478688606335,3.71
,M05,SYBR,,Std,,NaN,3.71
,O01,SYBR,,Std,,NaN,0.371
,O02,SYBR,,Std,,NaN,0.371
,O03,SYBR,,Std,,NaN,0.371
,O04,SYBR,,Std,,NaN,0.371
,O05,SYBR,,Std,,NaN,0.371
,P20,SYBR,,NTC,NTC,NaN,NaN
,P21,SYBR,,NTC,NTC,NaN,NaN
,P22,SYBR,,NTC,NTC,NaN,NaN
,P23,SYBR,,NTC,NTC,NaN,NaN
,P24,SYBR,,NTC,NTC,NaN,NaN
