,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,,Std,,27.3964975804743,3710000
,A02,Cy5,,Std,,27.7841052018642,3710000
,A03,Cy5,,Std,,27.7588904110631,3710000
,A04,Cy5,,Std,,28.0877617841678,3710000
,A05,Cy5,,Std,,27.8949055188991,3710000
,C01,Cy5,,Std,,26.3441443400538,371000
,C02,Cy5,,Std,,26.3138529954365,371000
,C03,Cy5,,Std,,25.9098341459084,371000
,C04,Cy5,,Std,,25.914325789566,371000
,C05,Cy5,,Std,,26.2556279510666,371000
,E01,Cy5,,Std,,25.5611030558943,37100
,E02,Cy5,,Std,,25.3261476739972,37100
,E03,Cy5,,Std,,25.4829826368565,37100
,E04,Cy5,,Std,,25.3903853691079,37100
,E05,Cy5,,Std,,25.3664087757324,37100
,G01,Cy5,,Std,,25.4058285413342,3710
,G02,Cy5,,Std,,25.2924787885448,3710
,G03,Cy5,,Std,,25.167639288571,3710
,G04,Cy5,,Std,,25.159437013754,3710
,G05,Cy5,,Std,,32.8404329547859,3710
,I01,Cy5,,Std,,25.2021885790743,371
,I02,Cy5,,Std,,25.2531055092931,371
,I03,Cy5,,Std,,25.2687600746516,371
,I04,Cy5,,Std,,25.3075012325072,371
,I05,Cy5,,Std,,25.0186332505045,371
,K01,Cy5,,Std,,25.3244809394313,37.1
,K02,Cy5,,Std,,25.1740622852029,37.1
,K03,Cy5,,Std,,25.0376377399535,37.1
,K04,Cy5,,Std,,25.0926481529806,37.1
,K05,Cy5,,Std,,25.1948514803718,37.1
,L24,Cy5,,NTC,NTC,25.1801845644145,NaN
,M01,Cy5,,Std,,25.2819572479348,3.71
,M02,Cy5,,Std,,25.0537641437786,3.71
,M03,Cy5,,Std,,25.016347995438,3.71
,M04,Cy5,,Std,,24.9210298423421,3.71
,M05,Cy5,,Std,,25.2546187617183,3.71
,M24,Cy5,,NTC,NTC,25.4486327789835,NaN
,N24,Cy5,,NTC,NTC,25.2612460866385,NaN
,O01,Cy5,,Std,,25.2452683958751,0.371
,O02,Cy5,,Std,,24.9013434637003,0.371
,O03,Cy5,,Std,,25.2151604249986,0.371
,O04,Cy5,,Std,,25.0976104210478,0.371
,O05,Cy5,,Std,,24.8812996842179,0.371
,O24,Cy5,,NTC,NTC,25.3143941267443,NaN
,P24,Cy5,,NTC,NTC,25.0339631352238,NaN
,A01,HEX,,Std,,16.1542975056833,3710000
,A02,HEX,,Std,,16.1427232452045,3710000
,A03,HEX,,Std,,16.1039808488822,3710000
,A04,HEX,,Std,,16.1322126342643,3710000
,A05,HEX,,Std,,15.9648829544377,3710000
,C01,HEX,,Std,,19.4163309481459,371000
,C02,HEX,,Std,,19.3947879914867,371000
,C03,HEX,,Std,,19.3839815595438,371000
,C04,HEX,,Std,,19.2561349991387,371000
,C05,HEX,,Std,,19.2477228939087,371000
,E01,HEX,,Std,,22.6153417460852,37100
,E02,HEX,,Std,,22.5361106475534,37100
,E03,HEX,,Std,,22.6467951098412,37100
,E04,HEX,,Std,,22.4071567167696,37100
,E05,HEX,,Std,,22.2700971952586,37100
,G01,HEX,,Std,,26.0171902670776,3710
,G02,HEX,,Std,,25.5504215161432,3710
,G03,HEX,,Std,,25.715227028547,3710
,G04,HEX,,Std,,25.6892025477273,3710
,G05,HEX,,Std,,NaN,3710
,I01,HEX,,Std,,29.0609984123484,371
,I02,HEX,,Std,,28.9896175398691,371
,I03,HEX,,Std,,29.0404813030861,371
,I04,HEX,,Std,,28.8061039119071,371
,I05,HEX,,Std,,28.5766856278691,371
,K01,HEX,,Std,,32.058402596211,37.1
,K02,HEX,,Std,,32.1102498298691,37.1
,K03,HEX,,Std,,31.7823682543344,37.1
,K04,HEX,,Std,,31.9842447253484,37.1
,K05,HEX,,Std,,32.2626768486852,37.1
,L24,HEX,,NTC,NTC,NaN,NaN
,M01,HEX,,Std,,35.5363747314507,3.71
,M02,HEX,,Std,,36.1019403365593,3.71
,M03,HEX,,Std,,35.2243928199132,3.71
,M04,HEX,,Std,,35.4251844143026,3.71
,M05,HEX,,Std,,34.5901243656972,3.71
,M24,HEX,,NTC,NTC,NaN,NaN
,N24,HEX,,NTC,NTC,NaN,NaN
,O01,HEX,,Std,,38.1136658908023,0.371
,O02,HEX,,Std,,37.1334967807317,0.371
,O03,HEX,,Std,,38.099814517686,0.371
,O04,HEX,,Std,,NaN,0.371
,O05,HEX,,Std,,NaN,0.371
,O24,HEX,,NTC,NTC,NaN,NaN
,P24,HEX,,NTC,NTC,NaN,NaN
