Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,BO_2,15.86370625,NaN
A02,SYBR,,Unkn,BO_2,15.60095689,NaN
A03,SYBR,,Unkn,BO_2,15.20158987,NaN
A05,SYBR,,Unkn,C2_2,22.02107471,NaN
A06,SYBR,,Unkn,C2_2,22.01580476,NaN
A07,SYBR,,Unkn,C2_2,21.79901852,NaN
A09,SYBR,,Unkn,RD_2,18.97412701,NaN
A10,SYBR,,Unkn,RD_2,18.72203576,NaN
A11,SYBR,,Unkn,RD_2,19.01625158,NaN
A22,SYBR,,Pos Ctrl,pos,15.06158082,NaN
A23,SYBR,,Pos Ctrl,pos,15.165776,NaN
A24,SYBR,,Pos Ctrl,pos,15.23042947,NaN
B01,SYBR,,Unkn,BO_6,12.24676077,NaN
B02,SYBR,,Unkn,BO_6,13.04052458,NaN
B03,SYBR,,Unkn,BO_6,13.16612377,NaN
B05,SYBR,,Unkn,C2_6,18.19710685,NaN
B06,SYBR,,Unkn,C2_6,17.87749763,NaN
B07,SYBR,,Unkn,C2_6,17.78586493,NaN
B09,SYBR,,Unkn,RD_6,17.2386835,NaN
B10,SYBR,,Unkn,RD_6,17.4348743,NaN
B11,SYBR,,Unkn,RD_6,17.34281674,NaN
C01,SYBR,,Unkn,BO_3,17.92160744,NaN
C02,SYBR,,Unkn,BO_3,17.80193296,NaN
C03,SYBR,,Unkn,BO_3,17.42923904,NaN
C05,SYBR,,Unkn,C2_3,20.50476326,NaN
C06,SYBR,,Unkn,C2_3,20.423698,NaN
C07,SYBR,,Unkn,C2_3,20.24503687,NaN
C09,SYBR,,Unkn,RD_3,20.07744212,NaN
C10,SYBR,,Unkn,RD_3,19.74640591,NaN
C11,SYBR,,Unkn,RD_3,20.01296987,NaN
D01,SYBR,,Unkn,BO_8,13.93456049,NaN
D02,SYBR,,Unkn,BO_8,13.66115535,NaN
D03,SYBR,,Unkn,BO_8,13.32531554,NaN
D05,SYBR,,Unkn,C2_8,15.13026963,NaN
D06,SYBR,,Unkn,C2_8,15.18013026,NaN
D07,SYBR,,Unkn,C2_8,15.05946708,NaN
D09,SYBR,,Unkn,RD_8,17.36928595,NaN
D10,SYBR,,Unkn,RD_8,17.40696848,NaN
D11,SYBR,,Unkn,RD_8,17.16473615,NaN
E01,SYBR,,Unkn,BO_4,16.23566724,NaN
E02,SYBR,,Unkn,BO_4,16.08487118,NaN
E03,SYBR,,Unkn,BO_4,15.87735633,NaN
E05,SYBR,,Unkn,C2_4,22.11454458,NaN
E06,SYBR,,Unkn,C2_4,21.63298873,NaN
E07,SYBR,,Unkn,C2_4,21.54917169,NaN
E09,SYBR,,Unkn,RD_4,17.28181559,NaN
E10,SYBR,,Unkn,RD_4,17.10811893,NaN
E11,SYBR,,Unkn,RD_4,17.21031737,NaN
F01,SYBR,,Unkn,BO_9,13.30189212,NaN
F02,SYBR,,Unkn,BO_9,13.20870782,NaN
F03,SYBR,,Unkn,BO_9,12.44633788,NaN
F05,SYBR,,Unkn,C2_9,16.70248214,NaN
F06,SYBR,,Unkn,C2_9,16.80322798,NaN
F07,SYBR,,Unkn,C2_9,16.96766432,NaN
F09,SYBR,,Unkn,RD_9,18.51073637,NaN
F10,SYBR,,Unkn,RD_9,18.88180598,NaN
F11,SYBR,,Unkn,RD_9,18.82433804,NaN
G01,SYBR,,Unkn,BO_5_11,13.33066782,NaN
G02,SYBR,,Unkn,BO_5_11,12.66115568,NaN
G03,SYBR,,Unkn,BO_5_11,12.37460272,NaN
G05,SYBR,,Unkn,C2_5_11,21.3774695,NaN
G06,SYBR,,Unkn,C2_5_11,22.00082977,NaN
G07,SYBR,,Unkn,C2_5_11,21.2803224,NaN
G09,SYBR,,Unkn,RD_5_11,20.48170269,NaN
G10,SYBR,,Unkn,RD_5_11,20.67620213,NaN
G11,SYBR,,Unkn,RD_5_11,20.511618,NaN
H01,SYBR,,Unkn,BO_10,13.60936282,NaN
H02,SYBR,,Unkn,BO_10,13.60409254,NaN
H03,SYBR,,Unkn,BO_10,13.39842647,NaN
H05,SYBR,,Unkn,C2_10,17.14452324,NaN
H06,SYBR,,Unkn,C2_10,17.10232055,NaN
H07,SYBR,,Unkn,C2_10,17.31463381,NaN
H09,SYBR,,Unkn,RD_10,17.03749078,NaN
H10,SYBR,,Unkn,RD_10,17.44435173,NaN
H11,SYBR,,Unkn,RD_10,17.17486993,NaN
I01,SYBR,,Unkn,BO_5_20,15.58330232,NaN
I02,SYBR,,Unkn,BO_5_20,15.76317352,NaN
I03,SYBR,,Unkn,BO_5_20,14.77587059,NaN
I05,SYBR,,Unkn,C2_5_20,20.01989929,NaN
I06,SYBR,,Unkn,C2_5_20,19.40865632,NaN
I07,SYBR,,Unkn,C2_5_20,19.06888793,NaN
I09,SYBR,,Unkn,RD_5_20,17.6780641,NaN
I10,SYBR,,Unkn,RD_5_20,17.89746486,NaN
I11,SYBR,,Unkn,RD_5_20,17.23320273,NaN
J01,SYBR,,Unkn,BO_11,18.76065422,NaN
J02,SYBR,,Unkn,BO_11,16.02201184,NaN
J03,SYBR,,Unkn,BO_11,15.63555624,NaN
J05,SYBR,,Unkn,C2_11,20.18057558,NaN
J06,SYBR,,Unkn,C2_11,20.32864718,NaN
J07,SYBR,,Unkn,C2_11,20.33660688,NaN
J09,SYBR,,Unkn,RD_11,16.20903325,NaN
J10,SYBR,,Unkn,RD_11,16.97129554,NaN
J11,SYBR,,Unkn,RD_11,16.5436652,NaN
K01,SYBR,,Unkn,BO_5_24,15.7398531,NaN
K02,SYBR,,Unkn,BO_5_24,12.79135487,NaN
K03,SYBR,,Unkn,BO_5_24,13.52058133,NaN
K05,SYBR,,Unkn,C2_5_24,19.50333217,NaN
K06,SYBR,,Unkn,C2_5_24,18.56473023,NaN
K07,SYBR,,Unkn,C2_5_24,18.47990305,NaN
K09,SYBR,,Unkn,RD_5_24,17.61926048,NaN
K10,SYBR,,Unkn,RD_5_24,17.09510274,NaN
K11,SYBR,,Unkn,RD_5_24,17.06594369,NaN
L01,SYBR,,Unkn,BO_12,15.19597738,NaN
L02,SYBR,,Unkn,BO_12,15.23534173,NaN
L03,SYBR,,Unkn,BO_12,15.2208541,NaN
L05,SYBR,,Unkn,C2_12,15.49377417,NaN
L06,SYBR,,Unkn,C2_12,15.10094465,NaN
L07,SYBR,,Unkn,C2_12,15.39337962,NaN
L09,SYBR,,Unkn,RD_12,24.46214657,NaN
L10,SYBR,,Unkn,RD_12,24.47137478,NaN
L11,SYBR,,Unkn,RD_12,24.42294741,NaN
P22,SYBR,,NTC,NTC,33.65273827,NaN
P23,SYBR,,NTC,NTC,33.99978942,NaN
P24,SYBR,,NTC,NTC,34.05256755,NaN
