Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,B7,15.44439894,NaN
A02,SYBR,,Unkn,B7,15.49815379,NaN
A03,SYBR,,Unkn,B7,15.36774724,NaN
A07,SYBR,,Unkn,B14,18.52238042,NaN
A08,SYBR,,Unkn,B14,18.53994088,NaN
A09,SYBR,,Unkn,B14,18.6442304,NaN
A22,SYBR,,Pos Ctrl,Pos,23.21405385,NaN
A23,SYBR,,Pos Ctrl,Pos,22.78146654,NaN
A24,SYBR,,Pos Ctrl,Pos,21.99722174,NaN
C01,SYBR,,Unkn,B8,17.01481263,NaN
C02,SYBR,,Unkn,B8,16.87830381,NaN
C03,SYBR,,Unkn,B8,16.84459566,NaN
C07,SYBR,,Unkn,B15,19.32202814,NaN
C08,SYBR,,Unkn,B15,19.53686827,NaN
C09,SYBR,,Unkn,B15,19.50452938,NaN
E01,SYBR,,Unkn,B9,17.39702409,NaN
E02,SYBR,,Unkn,B9,17.38796136,NaN
E03,SYBR,,Unkn,B9,17.1596909,NaN
E07,SYBR,,Unkn,B16,16.48569567,NaN
E08,SYBR,,Unkn,B16,16.49177167,NaN
E09,SYBR,,Unkn,B16,16.40232756,NaN
G01,SYBR,,Unkn,B11,18.75449146,NaN
G02,SYBR,,Unkn,B11,18.66949072,NaN
G03,SYBR,,Unkn,B11,18.4445032,NaN
G07,SYBR,,Unkn,B17,18.2425583,NaN
G08,SYBR,,Unkn,B17,18.314097,NaN
G09,SYBR,,Unkn,B17,18.33301232,NaN
I01,SYBR,,Unkn,B12,19.61779789,NaN
I02,SYBR,,Unkn,B12,19.10688274,NaN
I03,SYBR,,Unkn,B12,19.23991675,NaN
I07,SYBR,,Unkn,B18,17.5076175,NaN
I08,SYBR,,Unkn,B18,17.9427656,NaN
I09,SYBR,,Unkn,B18,18.13677045,NaN
K01,SYBR,,Unkn,B13,18.39196022,NaN
K02,SYBR,,Unkn,B13,17.65711926,NaN
K03,SYBR,,Unkn,B13,20.3171462,NaN
K07,SYBR,,Unkn,B19,17.32974578,NaN
K08,SYBR,,Unkn,B19,17.64951461,NaN
K09,SYBR,,Unkn,B19,17.73117738,NaN
P22,SYBR,,NTC,NTC,35.53723331,NaN
P23,SYBR,,NTC,NTC,35.88156702,NaN
P24,SYBR,,NTC,NTC,38.51409751,NaN
