,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,C7,16.383250496944,NaN
,A02,SYBR,,Unkn,C7,16.5704293675999,NaN
,A03,SYBR,,Unkn,C7,16.323966119372,NaN
,A07,SYBR,,Unkn,C14,17.4974509129611,NaN
,A08,SYBR,,Unkn,C14,17.4268625519872,NaN
,A09,SYBR,,Unkn,C14,17.3831892084316,NaN
,A22,SYBR,,Pos Ctrl,Pos,25.2041536230434,NaN
,A23,SYBR,,Pos Ctrl,Pos,25.3138167882615,NaN
,A24,SYBR,,Pos Ctrl,Pos,25.3826556102372,NaN
,C01,SYBR,,Unkn,C8,17.8294591679366,NaN
,C02,SYBR,,Unkn,C8,17.4028277419628,NaN
,C03,SYBR,,Unkn,C8,17.2759243441115,NaN
,C07,SYBR,,Unkn,C15,22.0429089340404,NaN
,C08,SYBR,,Unkn,C15,22.1711417891831,NaN
,C09,SYBR,,Unkn,C15,22.0589316254731,NaN
,E01,SYBR,,Unkn,C9,18.6611772300914,NaN
,E02,SYBR,,Unkn,C9,18.4696817445753,NaN
,E03,SYBR,,Unkn,C9,18.2433639329117,NaN
,E07,SYBR,,Unkn,C16,17.5843802271858,NaN
,E08,SYBR,,Unkn,C16,17.6745122292192,NaN
,E09,SYBR,,Unkn,C16,17.3941636468084,NaN
,G01,SYBR,,Unkn,C11,17.5413504236505,NaN
,G02,SYBR,,Unkn,C11,17.2060162125648,NaN
,G03,SYBR,,Unkn,C11,17.1293223795464,NaN
,G07,SYBR,,Unkn,C17,17.0005884813166,NaN
,G08,SYBR,,Unkn,C17,16.9707315388748,NaN
,G09,SYBR,,Unkn,C17,16.88278073941,NaN
,I01,SYBR,,Unkn,C12,18.078109445524,NaN
,I02,SYBR,,Unkn,C12,17.8305254734608,NaN
,I03,SYBR,,Unkn,C12,17.5858954765684,NaN
,I07,SYBR,,Unkn,C18,21.2939706885879,NaN
,I08,SYBR,,Unkn,C18,21.4516522009387,NaN
,I09,SYBR,,Unkn,C18,21.3747724214131,NaN
,K01,SYBR,,Unkn,C13,17.7609650741881,NaN
,K02,SYBR,,Unkn,C13,17.5822891807542,NaN
,K03,SYBR,,Unkn,C13,17.651425208836,NaN
,K07,SYBR,,Unkn,C19,15.4945938088299,NaN
,K08,SYBR,,Unkn,C19,15.4296328846434,NaN
,K09,SYBR,,Unkn,C19,15.4269022102717,NaN
,P22,SYBR,,NTC,NTC,34.3705409053544,NaN
,P23,SYBR,,NTC,NTC,34.6907220212623,NaN
,P24,SYBR,,NTC,NTC,37.0081406917629,NaN
