,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,C7,21.3187568155761,NaN
,A02,SYBR,,Unkn,C7,21.2330107461329,NaN
,A03,SYBR,,Unkn,C7,21.1655509710848,NaN
,A05,SYBR,,Unkn,C14,23.1211257759675,NaN
,A06,SYBR,,Unkn,C14,23.3189985735027,NaN
,A07,SYBR,,Unkn,C14,23.028962727472,NaN
,A22,SYBR,,Pos Ctrl,Pos,18.1341381134084,NaN
,A23,SYBR,,Pos Ctrl,Pos,18.1886900434793,NaN
,A24,SYBR,,Pos Ctrl,Pos,18.2327023087425,NaN
,C01,SYBR,,Unkn,C8,25.3768219192319,NaN
,C02,SYBR,,Unkn,C8,25.0422431531157,NaN
,C03,SYBR,,Unkn,C8,24.6075464381534,NaN
,C05,SYBR,,Unkn,C15,20.6132398507346,NaN
,C06,SYBR,,Unkn,C15,20.5446092633628,NaN
,C07,SYBR,,Unkn,C15,20.4944863358859,NaN
,E01,SYBR,,Unkn,C9,23.7258107525171,NaN
,E02,SYBR,,Unkn,C9,23.9580181187394,NaN
,E03,SYBR,,Unkn,C9,23.6091672593508,NaN
,E05,SYBR,,Unkn,C16,19.6607756066494,NaN
,E06,SYBR,,Unkn,C16,20.0167174399162,NaN
,E07,SYBR,,Unkn,C16,20.0946137548165,NaN
,G01,SYBR,,Unkn,C11,26.5872408970864,NaN
,G02,SYBR,,Unkn,C11,26.9750741277771,NaN
,G03,SYBR,,Unkn,C11,26.2790088465832,NaN
,G05,SYBR,,Unkn,C17,20.4814851520426,NaN
,G06,SYBR,,Unkn,C17,20.5609603069638,NaN
,G07,SYBR,,Unkn,C17,20.6765735877054,NaN
,I01,SYBR,,Unkn,C12,23.2674348960486,NaN
,I02,SYBR,,Unkn,C12,23.6416559298432,NaN
,I03,SYBR,,Unkn,C12,23.3614046416888,NaN
,I05,SYBR,,Unkn,C18,20.7154556975899,NaN
,I06,SYBR,,Unkn,C18,21.1338946122545,NaN
,I07,SYBR,,Unkn,C18,20.5778758387816,NaN
,K01,SYBR,,Unkn,C13,21.3268723276892,NaN
,K02,SYBR,,Unkn,C13,21.1318896520666,NaN
,K03,SYBR,,Unkn,C13,21.4867166478856,NaN
,K05,SYBR,,Unkn,C19,20.3498867600244,NaN
,K06,SYBR,,Unkn,C19,20.0653724378288,NaN
,K07,SYBR,,Unkn,C19,20.2033531415403,NaN
,P22,SYBR,,NTC,NTC,34.6762315829478,NaN
,P23,SYBR,,NTC,NTC,34.914340696276,NaN
,P24,SYBR,,NTC,NTC,35.5419060197032,NaN
