Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,R7,19.49199087,NaN
A02,SYBR,,Unkn,R7,19.42019299,NaN
A03,SYBR,,Unkn,R7,19.30930904,NaN
A07,SYBR,,Unkn,R14,20.38686365,NaN
A08,SYBR,,Unkn,R14,20.20181099,NaN
A09,SYBR,,Unkn,R14,19.84699068,NaN
A22,SYBR,,Pos Ctrl,e4,21.88496241,NaN
A23,SYBR,,Pos Ctrl,e4,22.13126089,NaN
A24,SYBR,,Pos Ctrl,e4,22.1146944,NaN
C01,SYBR,,Unkn,R8,21.84689443,NaN
C02,SYBR,,Unkn,R8,21.7228651,NaN
C03,SYBR,,Unkn,R8,21.38099992,NaN
C07,SYBR,,Unkn,R15,17.35263351,NaN
C08,SYBR,,Unkn,R15,17.57317362,NaN
C09,SYBR,,Unkn,R15,17.18658567,NaN
C22,SYBR,,Pos Ctrl,e3,25.6360463,NaN
C23,SYBR,,Pos Ctrl,e3,25.58206189,NaN
C24,SYBR,,Pos Ctrl,e3,25.63269012,NaN
E01,SYBR,,Unkn,R9,21.58993775,NaN
E02,SYBR,,Unkn,R9,21.1664141,NaN
E03,SYBR,,Unkn,R9,20.65769286,NaN
E07,SYBR,,Unkn,R16,18.04667004,NaN
E08,SYBR,,Unkn,R16,17.15175831,NaN
E09,SYBR,,Unkn,R16,16.82985687,NaN
G01,SYBR,,Unkn,R11,24.36328495,NaN
G02,SYBR,,Unkn,R11,24.07723848,NaN
G03,SYBR,,Unkn,R11,23.66259883,NaN
G07,SYBR,,Unkn,R17,17.74784531,NaN
G08,SYBR,,Unkn,R17,18.85904103,NaN
G09,SYBR,,Unkn,R17,17.70623003,NaN
I01,SYBR,,Unkn,R12,21.27029415,NaN
I02,SYBR,,Unkn,R12,21.44404388,NaN
I03,SYBR,,Unkn,R12,20.52209101,NaN
I07,SYBR,,Unkn,R18,18.15368149,NaN
I08,SYBR,,Unkn,R18,23.03116462,NaN
I09,SYBR,,Unkn,R18,29.31952618,NaN
K01,SYBR,,Unkn,R13,19.08622965,NaN
K02,SYBR,,Unkn,R13,18.78727146,NaN
K03,SYBR,,Unkn,R13,21.28467521,NaN
K07,SYBR,,Unkn,R19,16.68293279,NaN
K08,SYBR,,Unkn,R19,16.68869988,NaN
K09,SYBR,,Unkn,R19,16.44850796,NaN
P22,SYBR,,NTC,NTC,35.36399101,NaN
P23,SYBR,,NTC,NTC,35.16498534,NaN
P24,SYBR,,NTC,NTC,36.34514566,NaN
