Sample,Cq,log(SQ),SQ (copies/킠),DNA Template Volume (킠),Concentration/Assay,Assay Volume,Concentration/킠/Assay,DNA Elutant Volume (킠),Filtered Amount (mL),Concentration Factor (킠/mL),Dilution,Copies/mL
B7,15.44439894,6.567081045,149184519.4,1.2,179021423.3,15,11934761.55,100,100,1,1,11934761.55
B7,15.49815379,6.551904633,145772524.1,1.2,174927028.9,15,11661801.93,100,100,1,1,11661801.93
B7,15.36774724,6.588721841,154174209.8,1.2,185009051.8,15,12333936.78,100,100,1,1,12333936.78
B14,18.52238042,5.698085709,36081931.24,1.2,43298317.49,15,2886554.499,100,100,1,1,2886554.499
B14,18.53994088,5.693127928,35769216.52,1.2,42923059.82,15,2861537.322,100,100,1,1,2861537.322
B14,18.6442304,5.663684246,33961771.2,1.2,40754125.44,15,2716941.696,100,100,1,1,2716941.696
B8,17.01481263,6.123711849,74156200.18,1.2,88987440.22,15,5932496.014,100,100,1,1,5932496.014
B8,16.87830381,6.162251889,78957695.82,1.2,94749234.98,15,6316615.666,100,100,1,1,6316615.666
B8,16.84459566,6.171768588,80185591.54,1.2,96222709.85,15,6414847.323,100,100,1,1,6414847.323
B15,19.32202814,5.472324071,24083415.81,1.2,28900098.97,15,1926673.265,100,100,1,1,1926673.265
B15,19.53686827,5.411669037,21543302.76,1.2,25851963.31,15,1723464.221,100,100,1,1,1723464.221
B15,19.50452938,5.420799159,21909535.44,1.2,26291442.53,15,1752762.835,100,50,2,1,3505525.67
B9,17.39702409,6.015803475,62077812.18,1.2,74493374.62,15,4966224.974,100,50,2,1,9932449.949
B9,17.38796136,6.018362123,62342348.08,1.2,74810817.7,15,4987387.846,100,50,2,1,9974775.693
B9,17.1596909,6.082808893,69349242.6,1.2,83219091.12,15,5547939.408,100,50,2,1,11095878.82
B16,16.48569567,6.273095519,94366751.54,1.2,113240101.8,15,7549340.123,100,50,2,1,15098680.25
B16,16.49177167,6.271380104,94109017.4,1.2,112930820.9,15,7528721.392,100,50,2,1,15057442.78
B16,16.40232756,6.296632535,97967830.53,1.2,117561396.6,15,7837426.442,100,50,2,1,15674852.88
B11,18.75449146,5.632554641,32140611.49,1.2,38568733.79,15,2571248.919,100,50,2,1,5142497.838
B11,18.66949072,5.656552592,33536543.04,1.2,40243851.65,15,2682923.443,100,50,2,1,5365846.886
B11,18.4445032,5.720072501,37498624.26,1.2,44998349.11,15,2999889.941,100,50,2,1,5999779.882
B17,18.2425583,5.777086872,41408450.74,1.2,49690140.89,15,3312676.059,100,50,2,1,6625352.118
B17,18.314097,5.75688961,39983335.25,1.2,47980002.3,15,3198666.82,100,30,3.333333333,1,10662222.73
B17,18.33301232,5.751549317,39613980.19,1.2,47536776.23,15,3169118.415,100,30,3.333333333,1,10563728.05
B12,19.61779789,5.388820471,20650812.96,1.2,24780975.55,15,1652065.037,100,30,3.333333333,1,5506883.455
B12,19.10688274,5.533065291,26894157.86,1.2,32272989.43,15,2151532.629,100,30,3.333333333,1,7171775.429
B12,19.23991675,5.495506282,25123323.26,1.2,30147987.91,15,2009865.861,100,30,3.333333333,1,6699552.869
B18,17.5076175,5.98458004,58930048.34,1.2,70716058.01,15,4714403.867,100,30,3.333333333,1,15714679.56
B18,17.9427656,5.861726256,47891157.02,1.2,57469388.42,15,3831292.562,100,30,3.333333333,1,12770975.2
B18,18.13677045,5.806953571,43599703.63,1.2,52319644.36,15,3487976.29,100,30,3.333333333,1,11626587.63
B13,18.39196022,5.73490677,38482530.45,1.2,46179036.54,15,3078602.436,100,30,3.333333333,1,10262008.12
B13,17.65711926,5.94237175,54903265.34,1.2,65883918.41,15,4392261.227,100,30,3.333333333,1,14640870.76
B13,20.3171462,5.191376002,14217552.87,1.2,17061063.44,15,1137404.23,100,30,3.333333333,1,3791347.432
B19,17.32974578,6.034797916,64065956.9,1.2,76879148.28,15,5125276.552,100,30,3.333333333,1,17084255.17
B19,17.64951461,5.944518744,55101954.99,1.2,66122345.99,15,4408156.399,100,30,3.333333333,1,14693854.66
B19,17.73117738,5.92146319,53001765.84,1.2,63602119.01,15,4240141.267,100,30,3.333333333,1,14133804.22
