,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,B7,NaN,NaN
,A02,SYBR,,Unkn,B7,NaN,NaN
,A03,SYBR,,Unkn,B7,42.7738606230454,0.0502148777874824
,A05,SYBR,,Unkn,B14,38.8571427418461,0.647367463009925
,A06,SYBR,,Unkn,B14,NaN,NaN
,A07,SYBR,,Unkn,B14,NaN,NaN
,A09,SYBR,,Unkn,C7,NaN,NaN
,A10,SYBR,,Unkn,C7,44.9931152436806,0.01179543575079
,A11,SYBR,,Unkn,C7,NaN,NaN
,A13,SYBR,,Unkn,C14,NaN,NaN
,A14,SYBR,,Unkn,C14,NaN,NaN
,A15,SYBR,,Unkn,C14,35.4077013492557,6.15183840276023
,A18,SYBR,,Std,,15.5131331931185,2640000
,A19,SYBR,,Std,,15.5407553433704,2640000
,A20,SYBR,,Std,,15.4384406393276,2640000
,A21,SYBR,,Std,,15.1434188307635,2640000
,A22,SYBR,,Std,,14.3463334519445,2640000
,C01,SYBR,,Unkn,B8,NaN,NaN
,C02,SYBR,,Unkn,B8,40.0203004770198,0.302981947768037
,C03,SYBR,,Unkn,B8,NaN,NaN
,C05,SYBR,,Unkn,B15,NaN,NaN
,C06,SYBR,,Unkn,B15,NaN,NaN
,C07,SYBR,,Unkn,B15,NaN,NaN
,C09,SYBR,,Unkn,C8,NaN,NaN
,C10,SYBR,,Unkn,C8,NaN,NaN
,C11,SYBR,,Unkn,C8,NaN,NaN
,C13,SYBR,,Unkn,C15,NaN,NaN
,C14,SYBR,,Unkn,C15,NaN,NaN
,C15,SYBR,,Unkn,C15,NaN,NaN
,C18,SYBR,,Std,,19.0171473338187,264000
,C19,SYBR,,Std,,19.1208537788775,264000
,C20,SYBR,,Std,,18.8002316931595,264000
,C21,SYBR,,Std,,18.6394202901864,264000
,C22,SYBR,,Std,,18.0932794810426,264000
,E01,SYBR,,Unkn,B9,NaN,NaN
,E02,SYBR,,Unkn,B9,NaN,NaN
,E03,SYBR,,Unkn,B9,NaN,NaN
,E05,SYBR,,Unkn,B16,NaN,NaN
,E06,SYBR,,Unkn,B16,NaN,NaN
,E07,SYBR,,Unkn,B16,44.0143977104829,0.0223440890231076
,E09,SYBR,,Unkn,C9,35.1960829603882,7.06309247962135
,E10,SYBR,,Unkn,C9,NaN,NaN
,E11,SYBR,,Unkn,C9,NaN,NaN
,E13,SYBR,,Unkn,C16,38.3740752139185,0.887343449394606
,E14,SYBR,,Unkn,C16,NaN,NaN
,E15,SYBR,,Unkn,C16,38.9391774523123,0.613614361645269
,E18,SYBR,,Std,,23.0912650693882,26400
,E19,SYBR,,Std,,23.2302692252411,26400
,E20,SYBR,,Std,,23.1172443935748,26400
,E21,SYBR,,Std,,23.0845925506692,26400
,E22,SYBR,,Std,,22.8685932826663,26400
,G01,SYBR,,Unkn,B11,NaN,NaN
,G02,SYBR,,Unkn,B11,NaN,NaN
,G03,SYBR,,Unkn,B11,NaN,NaN
,G05,SYBR,,Unkn,B17,NaN,NaN
,G06,SYBR,,Unkn,B17,NaN,NaN
,G07,SYBR,,Unkn,B17,NaN,NaN
,G09,SYBR,,Unkn,C11,38.3043810558038,0.928642973285779
,G10,SYBR,,Unkn,C11,32.8610266019132,32.4295561732821
,G11,SYBR,,Unkn,C11,NaN,NaN
,G13,SYBR,,Unkn,C17,NaN,NaN
,G14,SYBR,,Unkn,C17,39.8833263281619,0.331319074281907
,G15,SYBR,,Unkn,C17,38.8572650652257,0.64731577569661
,G18,SYBR,,Std,,26.4884185584729,2640
,G19,SYBR,,Std,,26.6247427316991,2640
,G20,SYBR,,Std,,26.2566767768235,2640
,G21,SYBR,,Std,,26.0842306270749,2640
,G22,SYBR,,Std,,25.8923006988895,2640
,I01,SYBR,,Unkn,B12,NaN,NaN
,I02,SYBR,,Unkn,B12,NaN,NaN
,I03,SYBR,,Unkn,B12,NaN,NaN
,I05,SYBR,,Unkn,B18,NaN,NaN
,I06,SYBR,,Unkn,B18,NaN,NaN
,I07,SYBR,,Unkn,B18,NaN,NaN
,I09,SYBR,,Unkn,C12,39.1167578126869,0.546455379193806
,I10,SYBR,,Unkn,C12,NaN,NaN
,I11,SYBR,,Unkn,C12,NaN,NaN
,I13,SYBR,,Unkn,C18,NaN,NaN
,I14,SYBR,,Unkn,C18,NaN,NaN
,I15,SYBR,,Unkn,C18,35.4623370326273,5.93631166375141
,I18,SYBR,,Std,,29.9139238862266,264
,I19,SYBR,,Std,,29.6458250129402,264
,I20,SYBR,,Std,,29.792753325273,264
,I21,SYBR,,Std,,30.1361258000743,264
,I22,SYBR,,Std,,29.4053826709747,264
,K01,SYBR,,Unkn,B13,NaN,NaN
,K02,SYBR,,Unkn,B13,NaN,NaN
,K03,SYBR,,Unkn,B13,NaN,NaN
,K05,SYBR,,Unkn,B19,NaN,NaN
,K06,SYBR,,Unkn,B19,NaN,NaN
,K07,SYBR,,Unkn,B19,38.958581490997,0.605891448306945
,K09,SYBR,,Unkn,C13,39.2275147997425,0.508343306056935
,K10,SYBR,,Unkn,C13,NaN,NaN
,K11,SYBR,,Unkn,C13,NaN,NaN
,K13,SYBR,,Unkn,C19,41.2169140982803,0.13873898148095
,K14,SYBR,,Unkn,C19,38.4484230604956,0.845308978671383
,K15,SYBR,,Unkn,C19,40.7795840791548,0.184575319043302
,K18,SYBR,,Std,,33.3408378732792,26.4
,K19,SYBR,,Std,,33.6743062820031,26.4
,K20,SYBR,,Std,,33.3910969897685,26.4
,K21,SYBR,,Std,,34.0901234790476,26.4
,K22,SYBR,,Std,,33.6927563853612,26.4
,M18,SYBR,,Std,,37.8188009936262,2.64
,M19,SYBR,,Std,,36.9457770554612,2.64
,M20,SYBR,,Std,,36.2299355903694,2.64
,M21,SYBR,,Std,,36.0833405704067,2.64
,M22,SYBR,,Std,,NaN,2.64
,O18,SYBR,,Std,,NaN,0.264
,O19,SYBR,,Std,,NaN,0.264
,O20,SYBR,,Std,,NaN,0.264
,O21,SYBR,,Std,,NaN,0.264
,O22,SYBR,,Std,,37.2117516221801,0.264
,P01,SYBR,,NTC,NTC,NaN,NaN
,P02,SYBR,,NTC,NTC,NaN,NaN
,P03,SYBR,,NTC,NTC,NaN,NaN
