,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,B_8,26.5792698789456,NaN
,A02,SYBR,,Unkn,B_8,26.5152835796715,NaN
,A03,SYBR,,Unkn,B_8,26.495804500242,NaN
,A05,SYBR,,Unkn,B_Feb,26.4985792931983,NaN
,A06,SYBR,,Unkn,B_Feb,26.2127521817234,NaN
,A07,SYBR,,Unkn,B_Feb,26.2835559672676,NaN
,A22,SYBR,,Pos Ctrl,gyrB_e3,26.8787947270663,NaN
,A23,SYBR,,Pos Ctrl,gyrB_e3,26.962165409818,NaN
,A24,SYBR,,Pos Ctrl,gyrB_e3,26.9315032712225,NaN
,C01,SYBR,,Unkn,C_9,26.4990079221805,NaN
,C02,SYBR,,Unkn,C_9,26.3446523287333,NaN
,C03,SYBR,,Unkn,C_9,26.4443213884214,NaN
,C05,SYBR,,Unkn,R_apr,26.2954044513962,NaN
,C06,SYBR,,Unkn,R_apr,26.2843977181363,NaN
,C07,SYBR,,Unkn,R_apr,26.394246557054,NaN
,E01,SYBR,,Unkn,R_16,26.3998604149529,NaN
,E02,SYBR,,Unkn,R_16,26.3470352968512,NaN
,E03,SYBR,,Unkn,R_16,26.2900464326264,NaN
,E05,SYBR,,Unkn,R_5_20,26.2116328875397,NaN
,E06,SYBR,,Unkn,R_5_20,26.1743505966729,NaN
,E07,SYBR,,Unkn,R_5_20,26.3695170303067,NaN
,G01,SYBR,,Unkn,C_18,26.5703398402749,NaN
,G02,SYBR,,Unkn,C_18,26.5852882953707,NaN
,G03,SYBR,,Unkn,C_18,26.5232367387021,NaN
,G05,SYBR,,Unkn,C_Nov,26.1433011781269,NaN
,G06,SYBR,,Unkn,C_Nov,26.1588987314206,NaN
,G07,SYBR,,Unkn,C_Nov,26.2728387425514,NaN
,I01,SYBR,,Unkn,B_19,26.307711398428,NaN
,I02,SYBR,,Unkn,B_19,26.6619432060545,NaN
,I03,SYBR,,Unkn,B_19,26.2089896119877,NaN
,I05,SYBR,,Unkn,B_Dec,26.1182013513683,NaN
,I06,SYBR,,Unkn,B_Dec,26.2733094671506,NaN
,I07,SYBR,,Unkn,B_Dec,26.2722120484247,NaN
,P22,SYBR,,NTC,NTC,NaN,NaN
,P23,SYBR,,NTC,NTC,NaN,NaN
,P24,SYBR,,NTC,NTC,42.6325938670824,NaN
