Well,Fluor,Target,Content,Sample,Cq,SQ
A14,SYBR,,Unkn,507_1,31.23811272,NaN
A15,SYBR,,Unkn,507_1,31.26917481,NaN
A16,SYBR,,Unkn,507_1,31.14879015,NaN
C14,SYBR,,Unkn,507_2,33.81290823,NaN
C15,SYBR,,Unkn,507_2,34.00676125,NaN
C16,SYBR,,Unkn,507_2,33.68240976,NaN
E14,SYBR,,Unkn,507_3,37.6675258,NaN
E15,SYBR,,Unkn,507_3,37.6069514,NaN
E16,SYBR,,Unkn,507_3,37.20536656,NaN
G14,SYBR,,Unkn,507_4,42.04432057,NaN
G15,SYBR,,Unkn,507_4,42.96629108,NaN
G16,SYBR,,Unkn,507_4,40.34837926,NaN
A22,SYBR,,Unkn,55_1,33.3166344,NaN
A23,SYBR,,Unkn,55_1,33.3905071,NaN
A24,SYBR,,Unkn,55_1,33.53220766,NaN
C22,SYBR,,Unkn,55_2,36.27419671,NaN
C23,SYBR,,Unkn,55_2,36.7834246,NaN
C24,SYBR,,Unkn,55_2,36.96064685,NaN
E22,SYBR,,Unkn,55_3,40.01850158,NaN
E23,SYBR,,Unkn,55_3,40.0013472,NaN
E24,SYBR,,Unkn,55_3,40.51974036,NaN
G22,SYBR,,Unkn,55_4,43.15472427,NaN
G23,SYBR,,Unkn,55_4,41.24500917,NaN
G24,SYBR,,Unkn,55_4,42.1108269,NaN
A10,SYBR,,Unkn,551_1,29.87438831,NaN
A11,SYBR,,Unkn,551_1,29.99879822,NaN
C10,SYBR,,Unkn,551_2,32.60659556,NaN
C11,SYBR,,Unkn,551_2,32.53107848,NaN
E10,SYBR,,Unkn,551_3,36.87950193,NaN
E11,SYBR,,Unkn,551_3,36.73895609,NaN
G10,SYBR,,Unkn,551_4,40.41552848,NaN
G11,SYBR,,Unkn,551_4,42.81404685,NaN
A18,SYBR,,Unkn,99_1,31.03630012,NaN
A19,SYBR,,Unkn,99_1,31.38374592,NaN
A20,SYBR,,Unkn,99_1,31.08921961,NaN
C18,SYBR,,Unkn,99_2,33.21238061,NaN
C19,SYBR,,Unkn,99_2,33.58083892,NaN
C20,SYBR,,Unkn,99_2,33.15306814,NaN
E18,SYBR,,Unkn,99_3,37.01816337,NaN
E19,SYBR,,Unkn,99_3,37.07990954,NaN
E20,SYBR,,Unkn,99_3,37.32363171,NaN
G18,SYBR,,Unkn,99_4,40.76749511,NaN
G19,SYBR,,Unkn,99_4,40.47673581,NaN
