Well,Fluor,Target,Content,Sample,Cq,SQ,concentration
A02,SYBR,,Std,,17.84225368,2640000,10^6
A03,SYBR,,Std,,17.61925056,2640000,10^6
A04,SYBR,,Std,,17.564151,2640000,10^6
C02,SYBR,,Std,,21.30772174,264000,10^5
C03,SYBR,,Std,,21.29798047,264000,10^5
C04,SYBR,,Std,,20.95485625,264000,10^5
E02,SYBR,,Std,,24.97429227,26400,10^4
E03,SYBR,,Std,,24.77938988,26400,10^4
E04,SYBR,,Std,,24.5726615,26400,10^4
G02,SYBR,,Std,,28.83607415,2640,10^3
G03,SYBR,,Std,,28.88520255,2640,10^3
G04,SYBR,,Std,,28.5517452,2640,10^3
I02,SYBR,,Std,,32.50317565,264,10^2
I03,SYBR,,Std,,32.27418145,264,10^2
I04,SYBR,,Std,,32.18651267,264,10^2
K02,SYBR,,Std,,35.88442658,26.4,10^1
K03,SYBR,,Std,,36.26087045,26.4,10^1
K04,SYBR,,Std,,36.19248018,26.4,10^1
M02,SYBR,,Std,,41.4646433,2.64,10^0
M03,SYBR,,Std,,39.70944459,2.64,10^0
M04,SYBR,,Std,,39.51690218,2.64,10^0
O02,SYBR,,Std,,NaN,0.264,10^-1
O03,SYBR,,Std,,43.34915816,0.264,10^-1
O04,SYBR,,Std,,NaN,0.264,10^-1
P22,SYBR,,NTC,,NaN,NaN,
P23,SYBR,,NTC,,NaN,NaN,
P24,SYBR,,NTC,,NaN,NaN,
