,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,Raw,NaN,NaN
,A03,SYBR,,Unkn,e4,40.3007905400793,NaN
,A05,SYBR,,Unkn,e3,43.8312919370749,NaN
,A07,SYBR,,Unkn,e2,NaN,NaN
,A09,SYBR,,Unkn,e1,NaN,NaN
,A11,SYBR,,Unkn,e0,NaN,NaN
,A13,SYBR,,Unkn,Raw_e5,NaN,NaN
,A15,SYBR,,Unkn,e4,39.3992624048448,NaN
,A17,SYBR,,Unkn,e3,43.4916966560399,NaN
,A19,SYBR,,Unkn,e2,NaN,NaN
,A21,SYBR,,Unkn,e1,NaN,NaN
,A23,SYBR,,Unkn,e0,NaN,NaN
,D01,SYBR,,Unkn,Raw,NaN,NaN
,D03,SYBR,,Unkn,e4,37.7300270272476,NaN
,D05,SYBR,,Unkn,e3,40.6747525462812,NaN
,D07,SYBR,,Unkn,e2,43.668887725671,NaN
,D09,SYBR,,Unkn,e1,NaN,NaN
,D11,SYBR,,Unkn,e0,NaN,NaN
,D13,SYBR,,Unkn,Raw_e5,NaN,NaN
,D15,SYBR,,Unkn,e4,37.6032150332718,NaN
,D17,SYBR,,Unkn,e3,40.1298708102012,NaN
,D19,SYBR,,Unkn,e2,NaN,NaN
,D21,SYBR,,Unkn,e1,NaN,NaN
,D23,SYBR,,Unkn,e0,NaN,NaN
,F01,SYBR,,Unkn,Raw,NaN,NaN
,F03,SYBR,,Unkn,e4,34.8226273567644,NaN
,F05,SYBR,,Unkn,e3,37.0882724821563,NaN
,F07,SYBR,,Unkn,e2,42.343160713798,NaN
,F09,SYBR,,Unkn,e1,NaN,NaN
,F11,SYBR,,Unkn,e0,43.158882754341,NaN
,F13,SYBR,,Unkn,Raw_e5,NaN,NaN
,F15,SYBR,,Unkn,e4,34.1272413230044,NaN
,F17,SYBR,,Unkn,e3,37.2558422759366,NaN
,F19,SYBR,,Unkn,e2,41.5916270115523,NaN
,F21,SYBR,,Unkn,e1,44.3327462309509,NaN
,F23,SYBR,,Unkn,e0,NaN,NaN
,H01,SYBR,,Unkn,Raw,NaN,NaN
,H03,SYBR,,Unkn,e4,30.9418262116312,NaN
,H05,SYBR,,Unkn,e3,34.031622941328,NaN
,H07,SYBR,,Unkn,e2,37.0093483425753,NaN
,H09,SYBR,,Unkn,e1,42.4530713135589,NaN
,H11,SYBR,,Unkn,e0,NaN,NaN
,H13,SYBR,,Unkn,Raw_e5,NaN,NaN
,H15,SYBR,,Unkn,e4,30.9726554808191,NaN
,H17,SYBR,,Unkn,e3,34.0117164135615,NaN
,H19,SYBR,,Unkn,e2,37.5613529605551,NaN
,H21,SYBR,,Unkn,e1,42.316794180553,NaN
,J01,SYBR,,Unkn,Raw,NaN,NaN
,J03,SYBR,,Unkn,e4,27.8052204129141,NaN
,J05,SYBR,,Unkn,e3,30.1910584560669,NaN
,J07,SYBR,,Unkn,e2,33.8095440006504,NaN
,J09,SYBR,,Unkn,e1,37.640781648505,NaN
,J11,SYBR,,Unkn,e0,42.4380721903728,NaN
,J13,SYBR,,Unkn,Raw_e5,NaN,NaN
,J15,SYBR,,Unkn,e4,27.7828732098068,NaN
,J17,SYBR,,Unkn,e3,30.6154003779088,NaN
,J19,SYBR,,Unkn,e2,34.2229379640133,NaN
,J21,SYBR,,Unkn,e1,37.6916895316373,NaN
,L01,SYBR,,Unkn,Raw,NaN,NaN
,L03,SYBR,,Unkn,e4,27.147899105218,NaN
,L05,SYBR,,Unkn,e3,29.447195951156,NaN
,L07,SYBR,,Unkn,e2,33.1055444164058,NaN
,L09,SYBR,,Unkn,e1,36.941280601183,NaN
,L11,SYBR,,Unkn,e0,41.7226333815494,NaN
,L13,SYBR,,Unkn,Raw_e5,NaN,NaN
,L15,SYBR,,Unkn,e4,26.9540894855314,NaN
,L17,SYBR,,Unkn,e3,29.3720480738301,NaN
,L19,SYBR,,Unkn,e2,32.9276294324441,NaN
,L21,SYBR,,Unkn,e1,36.4773571814074,NaN
,O24,SYBR,,NTC,NTC,NaN,NaN
,P01,SYBR,,Unkn,Raw,NaN,NaN
,P03,SYBR,,Unkn,e4,27.3021122639438,NaN
,P05,SYBR,,Unkn,e3,29.4252273725083,NaN
,P07,SYBR,,Unkn,e2,33.2409795302782,NaN
,P09,SYBR,,Unkn,e1,36.8301422296922,NaN
,P11,SYBR,,Unkn,e0,41.6641183877585,NaN
,P13,SYBR,,Unkn,Raw_e5,NaN,NaN
,P15,SYBR,,Unkn,e4,27.3692658493185,NaN
,P17,SYBR,,Unkn,e3,29.4286124610018,NaN
,P19,SYBR,,Unkn,e2,33.3052333381103,NaN
,P21,SYBR,,Unkn,e1,36.5889576370111,NaN
,P24,SYBR,,NTC,NTC,NaN,NaN
