,Well,Fluor,Target,Content,Sample,Cq,SQ
,A02,SYBR,,Unkn,R7,43.7427069846489,NaN
,E01,SYBR,,Unkn,R9,43.6364111795458,NaN
,A07,SYBR,,Unkn,R14,42.9495083903751,NaN
,K06,SYBR,,Unkn,R19,42.6696353654865,NaN
,A01,SYBR,,Unkn,R7,41.399511622092,NaN
,I01,SYBR,,Unkn,R12,41.3150930303755,NaN
,G06,SYBR,,Unkn,R17,41.2490267785824,NaN
,K02,SYBR,,Unkn,R13,41.2161204952332,NaN
,G07,SYBR,,Unkn,R17,41.0898986283822,NaN
,G05,SYBR,,Unkn,R17,40.9286828519318,NaN
,C05,SYBR,,Unkn,R15,40.4550488507814,NaN
,C06,SYBR,,Unkn,R15,40.4226880646179,NaN
,C07,SYBR,,Unkn,R15,40.0313054387779,NaN
,I03,SYBR,,Unkn,R12,39.8597264163274,NaN
,A05,SYBR,,Unkn,R14,39.700774894109,NaN
,I05,SYBR,,Unkn,R18,39.6669474877643,NaN
,I02,SYBR,,Unkn,R12,39.2276446280253,NaN
,A03,SYBR,,Unkn,R7,38.9699135337512,NaN
,A06,SYBR,,Unkn,R14,38.9513754299528,NaN
,E05,SYBR,,Unkn,R16,38.921655721766,NaN
,A24,SYBR,,Neg Ctrl,Vc_1_10,38.8375704962728,NaN
,E07,SYBR,,Unkn,R16,38.7408811078413,NaN
,E06,SYBR,,Unkn,R16,38.6564828683693,NaN
,K07,SYBR,,Unkn,R19,38.0477880659795,NaN
,K01,SYBR,,Unkn,R13,37.5441418441035,NaN
,K03,SYBR,,Unkn,R13,37.3872159590155,NaN
,G23,SYBR,,Pos Ctrl,Va_Gblock_e4,21.0603880374571,NaN
,G22,SYBR,,Pos Ctrl,Va_Gblock_e4,21.0541413012452,NaN
,G24,SYBR,,Pos Ctrl,Va_Gblock_e4,21.020184587313,NaN
,A22,SYBR,,Neg Ctrl,Vc_1_10,NaN,NaN
,A23,SYBR,,Neg Ctrl,Vc_1_10,NaN,NaN
,C01,SYBR,,Unkn,R8,NaN,NaN
,C02,SYBR,,Unkn,R8,NaN,NaN
,C03,SYBR,,Unkn,R8,NaN,NaN
,C22,SYBR,,Neg Ctrl,Vp_1_10,NaN,NaN
,C23,SYBR,,Neg Ctrl,Vp_1_10,NaN,NaN
,C24,SYBR,,Neg Ctrl,Vp_1_10,NaN,NaN
,E02,SYBR,,Unkn,R9,NaN,NaN
,E03,SYBR,,Unkn,R9,NaN,NaN
,E22,SYBR,,Neg Ctrl,Vv_1_10,NaN,NaN
,E23,SYBR,,Neg Ctrl,Vv_1_10,NaN,NaN
,E24,SYBR,,Neg Ctrl,Vv_1_10,NaN,NaN
,G01,SYBR,,Unkn,R11,NaN,NaN
,G02,SYBR,,Unkn,R11,NaN,NaN
,G03,SYBR,,Unkn,R11,NaN,NaN
,I06,SYBR,,Unkn,R18,NaN,NaN
,I07,SYBR,,Unkn,R18,NaN,NaN
,K05,SYBR,,Unkn,R19,NaN,NaN
,P22,SYBR,,NTC,NTC,NaN,NaN
,P23,SYBR,,NTC,NTC,NaN,NaN
,P24,SYBR,,NTC,NTC,NaN,NaN
