,Well,Fluor,Target,Content,Sample,Cq,SQ
,G01,SYBR,,Unkn,BO_5_11,44.5204266292306,NaN
,K13,SYBR,,Unkn,C2_12,44.4202738604815,NaN
,C14,SYBR,,Unkn,C2_8,44.1558495629666,NaN
,A14,SYBR,,Unkn,C2_6,44.0142225065399,NaN
,K15,SYBR,,Unkn,C2_12,43.3544529878509,NaN
,I17,SYBR,,Unkn,RD_5_20,43.0769404546664,NaN
,K14,SYBR,,Unkn,C2_12,42.9160902740561,NaN
,I22,SYBR,,Unkn,RD_11,42.6695350937303,NaN
,E10,SYBR,,Unkn,C2_4,42.5746972024841,NaN
,A07,SYBR,,Unkn,BO_6,42.3539264437327,NaN
,C23,SYBR,,Unkn,RD_8,41.3864821372893,NaN
,I19,SYBR,,Unkn,RD_5_20,41.2386754830847,NaN
,E13,SYBR,,Unkn,C2_9,41.0728116648716,NaN
,K23,SYBR,,Unkn,RD_12,40.983974377087,NaN
,G07,SYBR,,Unkn,BO_10,40.496256230755,NaN
,I21,SYBR,,Unkn,RD_11,40.1976793471892,NaN
,I18,SYBR,,Unkn,RD_5_20,40.1644475637777,NaN
,A09,SYBR,,Unkn,C2_2,40.0860448372571,NaN
,I23,SYBR,,Unkn,RD_11,40.0610568219504,NaN
,C09,SYBR,,Unkn,C2_3,39.8685341525614,NaN
,K01,SYBR,,Unkn,BO_5_24,39.740567432215,NaN
,E05,SYBR,,Unkn,BO_9,39.6636731488924,NaN
,I10,SYBR,,Unkn,C2_5_20,39.6548577708407,NaN
,K06,SYBR,,Unkn,BO_12,39.5567543702101,NaN
,G03,SYBR,,Unkn,BO_5_11,39.3930605358332,NaN
,K09,SYBR,,Unkn,C2_5_24,39.2024510788744,NaN
,A03,SYBR,,Unkn,BO_2,38.8797248181582,NaN
,G05,SYBR,,Unkn,BO_10,38.6785103383427,NaN
,C05,SYBR,,Unkn,BO_8,38.5403816787578,NaN
,C21,SYBR,,Unkn,RD_8,38.3530036991181,NaN
,C22,SYBR,,Unkn,RD_8,37.8112785757872,NaN
,G18,SYBR,,Unkn,RD_5_11,37.4146865877249,NaN
,E19,SYBR,,Unkn,RD_4,37.3927680302993,NaN
,G19,SYBR,,Unkn,RD_5_11,37.2059527014486,NaN
,G17,SYBR,,Unkn,RD_5_11,37.1465903189006,NaN
,E18,SYBR,,Unkn,RD_4,36.4541402418166,NaN
,E17,SYBR,,Unkn,RD_4,35.9255841444815,NaN
,I05,SYBR,,Unkn,BO_11,34.4034964246626,NaN
,I06,SYBR,,Unkn,BO_11,33.7804292476809,NaN
,I07,SYBR,,Unkn,BO_11,33.6115330413654,NaN
,I13,SYBR,,Unkn,C2_11,33.2736597450921,NaN
,I15,SYBR,,Unkn,C2_11,33.0555431256435,NaN
,I14,SYBR,,Unkn,C2_11,32.8918864676921,NaN
,P02,SYBR,,Pos Ctrl,Pos_e4,21.6547151757724,NaN
,P01,SYBR,,Pos Ctrl,Pos_e4,21.6216909951918,NaN
,P03,SYBR,,Pos Ctrl,Pos_e4,21.5058808671859,NaN
,A01,SYBR,,Unkn,BO_2,NaN,NaN
,A02,SYBR,,Unkn,BO_2,NaN,NaN
,A05,SYBR,,Unkn,BO_6,NaN,NaN
,A06,SYBR,,Unkn,BO_6,NaN,NaN
,A10,SYBR,,Unkn,C2_2,NaN,NaN
,A11,SYBR,,Unkn,C2_2,NaN,NaN
,A13,SYBR,,Unkn,C2_6,NaN,NaN
,A15,SYBR,,Unkn,C2_6,NaN,NaN
,A17,SYBR,,Unkn,RD_ 2,NaN,NaN
