,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,B7,15.4443989440959,NaN
,A02,SYBR,,Unkn,B7,15.498153792872,NaN
,A03,SYBR,,Unkn,B7,15.3677472423108,NaN
,A07,SYBR,,Unkn,B14,18.5223804164816,NaN
,A08,SYBR,,Unkn,B14,18.5399408823727,NaN
,A09,SYBR,,Unkn,B14,18.6442303976191,NaN
,A22,SYBR,,Pos Ctrl,Pos,23.2140538522502,NaN
,A23,SYBR,,Pos Ctrl,Pos,22.7814665376209,NaN
,A24,SYBR,,Pos Ctrl,Pos,21.99722173887,NaN
,C01,SYBR,,Unkn,B8,17.0148126278826,NaN
,C02,SYBR,,Unkn,B8,16.8783038068422,NaN
,C03,SYBR,,Unkn,B8,16.844595661328,NaN
,C07,SYBR,,Unkn,B15,19.3220281444995,NaN
,C08,SYBR,,Unkn,B15,19.5368682699687,NaN
,C09,SYBR,,Unkn,B15,19.5045293800942,NaN
,E01,SYBR,,Unkn,B9,17.3970240936742,NaN
,E02,SYBR,,Unkn,B9,17.3879613601621,NaN
,E03,SYBR,,Unkn,B9,17.1596908980872,NaN
,E07,SYBR,,Unkn,B16,16.4856956694963,NaN
,E08,SYBR,,Unkn,B16,16.4917716678274,NaN
,E09,SYBR,,Unkn,B16,16.4023275598745,NaN
,G01,SYBR,,Unkn,B11,18.7544914644439,NaN
,G02,SYBR,,Unkn,B11,18.6694907247815,NaN
,G03,SYBR,,Unkn,B11,18.4445031992636,NaN
,G07,SYBR,,Unkn,B17,18.24255830315,NaN
,G08,SYBR,,Unkn,B17,18.3140969988418,NaN
,G09,SYBR,,Unkn,B17,18.3330123246816,NaN
,I01,SYBR,,Unkn,B12,19.6177978942297,NaN
,I02,SYBR,,Unkn,B12,19.1068827403494,NaN
,I03,SYBR,,Unkn,B12,19.2399167490355,NaN
,I07,SYBR,,Unkn,B18,17.5076175033867,NaN
,I08,SYBR,,Unkn,B18,17.9427656040705,NaN
,I09,SYBR,,Unkn,B18,18.1367704472832,NaN
,K01,SYBR,,Unkn,B13,18.3919602222932,NaN
,K02,SYBR,,Unkn,B13,17.6571192572256,NaN
,K03,SYBR,,Unkn,B13,20.3171461976348,NaN
,K07,SYBR,,Unkn,B19,17.3297457829568,NaN
,K08,SYBR,,Unkn,B19,17.6495146106725,NaN
,K09,SYBR,,Unkn,B19,17.7311773805776,NaN
,P22,SYBR,,NTC,,35.537233308175,NaN
,P23,SYBR,,NTC,,35.881567024762,NaN
,P24,SYBR,,NTC,,38.5140975070733,NaN
