Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,BO_2,NaN,NaN
A02,SYBR,,Unkn,BO_2,38.82813075,NaN
A03,SYBR,,Unkn,BO_2,43.64866125,NaN
A05,SYBR,,Unkn,C2_2,NaN,NaN
A06,SYBR,,Unkn,C2_2,NaN,NaN
A07,SYBR,,Unkn,C2_2,NaN,NaN
A09,SYBR,,Unkn,RD_2,NaN,NaN
A10,SYBR,,Unkn,RD_2,NaN,NaN
A11,SYBR,,Unkn,RD_2,NaN,NaN
A14,SYBR,,Unkn,BO_2i,31.15542528,NaN
A15,SYBR,,Unkn,BO_2i,31.00614011,NaN
A16,SYBR,,Unkn,BO_2i,31.06834481,NaN
A18,SYBR,,Unkn,C2_2i,31.07549882,NaN
A19,SYBR,,Unkn,C2_2i,30.97379113,NaN
A20,SYBR,,Unkn,C2_2i,30.90042228,NaN
A22,SYBR,,Unkn,RD_2i,30.85977707,NaN
A23,SYBR,,Unkn,RD_2i,30.91959287,NaN
A24,SYBR,,Unkn,RD_2i,30.58292177,NaN
B01,SYBR,,Unkn,BO_6,36.72214213,NaN
B02,SYBR,,Unkn,BO_6,NaN,NaN
B03,SYBR,,Unkn,BO_6,36.64788609,NaN
B05,SYBR,,Unkn,C2_6,NaN,NaN
B06,SYBR,,Unkn,C2_6,NaN,NaN
B07,SYBR,,Unkn,C2_6,NaN,NaN
B09,SYBR,,Unkn,RD_6,NaN,NaN
B10,SYBR,,Unkn,RD_6,NaN,NaN
B11,SYBR,,Unkn,RD_6,NaN,NaN
B14,SYBR,,Unkn,BO_6i,30.95088999,NaN
B15,SYBR,,Unkn,BO_6i,30.88802755,NaN
B16,SYBR,,Unkn,BO_6i,30.88628674,NaN
B18,SYBR,,Unkn,C2_6i,30.76586751,NaN
B19,SYBR,,Unkn,C2_6i,30.73092926,NaN
B20,SYBR,,Unkn,C2_6i,30.70999228,NaN
B22,SYBR,,Unkn,RD_6i,30.83650253,NaN
B23,SYBR,,Unkn,RD_6i,30.83932507,NaN
B24,SYBR,,Unkn,RD_6i,30.64931069,NaN
C01,SYBR,,Unkn,BO_3,NaN,NaN
C02,SYBR,,Unkn,BO_3,NaN,NaN
C03,SYBR,,Unkn,BO_3,NaN,NaN
C05,SYBR,,Unkn,C2_3,NaN,NaN
C06,SYBR,,Unkn,C2_3,NaN,NaN
C07,SYBR,,Unkn,C2_3,NaN,NaN
C09,SYBR,,Unkn,RD_3,NaN,NaN
C10,SYBR,,Unkn,RD_3,NaN,NaN
C11,SYBR,,Unkn,RD_3,NaN,NaN
C14,SYBR,,Unkn,BO_3i,30.88468188,NaN
C15,SYBR,,Unkn,BO_3i,30.83660797,NaN
C16,SYBR,,Unkn,BO_3i,30.78783896,NaN
C18,SYBR,,Unkn,C2_3i,30.69389404,NaN
C19,SYBR,,Unkn,C2_3i,30.70641731,NaN
C20,SYBR,,Unkn,C2_3i,30.76450702,NaN
C22,SYBR,,Unkn,RD_3i,30.73730182,NaN
C23,SYBR,,Unkn,RD_3i,30.58327662,NaN
C24,SYBR,,Unkn,RD_3i,30.43265653,NaN
D01,SYBR,,Unkn,BO_8,NaN,NaN
D02,SYBR,,Unkn,BO_8,NaN,NaN
D03,SYBR,,Unkn,BO_8,NaN,NaN
D05,SYBR,,Unkn,C2_8,NaN,NaN
D06,SYBR,,Unkn,C2_8,NaN,NaN
D07,SYBR,,Unkn,C2_8,NaN,NaN
D09,SYBR,,Unkn,RD_8,NaN,NaN
D10,SYBR,,Unkn,RD_8,NaN,NaN
D11,SYBR,,Unkn,RD_8,NaN,NaN
D14,SYBR,,Unkn,BO_8i,30.65263587,NaN
D15,SYBR,,Unkn,BO_8i,30.76352706,NaN
D16,SYBR,,Unkn,BO_8i,30.9350228,NaN
D18,SYBR,,Unkn,C2_8i,30.8141985,NaN
D19,SYBR,,Unkn,C2_8i,30.87384599,NaN
D20,SYBR,,Unkn,C2_8i,30.83608734,NaN
D22,SYBR,,Unkn,RD_8i,30.60303907,NaN
D23,SYBR,,Unkn,RD_8i,30.51653914,NaN
D24,SYBR,,Unkn,RD_8i,30.56155223,NaN
E01,SYBR,,Unkn,BO_4,NaN,NaN
E02,SYBR,,Unkn,BO_4,NaN,NaN
E03,SYBR,,Unkn,BO_4,NaN,NaN
E05,SYBR,,Unkn,C2_4,NaN,NaN
E06,SYBR,,Unkn,C2_4,NaN,NaN
E07,SYBR,,Unkn,C2_4,NaN,NaN
E09,SYBR,,Unkn,RD_4,NaN,NaN
E10,SYBR,,Unkn,RD_4,NaN,NaN
E11,SYBR,,Unkn,RD_4,NaN,NaN
E14,SYBR,,Unkn,BO_4i,30.84573197,NaN
E15,SYBR,,Unkn,BO_4i,30.64481566,NaN
E16,SYBR,,Unkn,BO_4i,30.89291944,NaN
E18,SYBR,,Unkn,C2_4i,30.51028617,NaN
E19,SYBR,,Unkn,C2_4i,30.60880596,NaN
E20,SYBR,,Unkn,C2_4i,30.6449646,NaN
E22,SYBR,,Unkn,RD_4i,30.72322176,NaN
E23,SYBR,,Unkn,RD_4i,30.61910453,NaN
E24,SYBR,,Unkn,RD_4i,30.65830246,NaN
F01,SYBR,,Unkn,BO_9,NaN,NaN
F02,SYBR,,Unkn,BO_9,37.49542048,NaN
F03,SYBR,,Unkn,BO_9,NaN,NaN
F05,SYBR,,Unkn,C2_9,NaN,NaN
F06,SYBR,,Unkn,C2_9,NaN,NaN
F07,SYBR,,Unkn,C2_9,NaN,NaN
F09,SYBR,,Unkn,RD_9,NaN,NaN
F10,SYBR,,Unkn,RD_9,NaN,NaN
F11,SYBR,,Unkn,RD_9,NaN,NaN
F14,SYBR,,Unkn,BO_9i,30.5366857,NaN
F15,SYBR,,Unkn,BO_9i,30.6234977,NaN
F16,SYBR,,Unkn,BO_9i,30.65885674,NaN
F18,SYBR,,Unkn,C2_9i,30.6947305,NaN
F19,SYBR,,Unkn,C2_9i,30.64534883,NaN
F20,SYBR,,Unkn,C2_9i,30.90724651,NaN
F22,SYBR,,Unkn,RD_9i,30.7788382,NaN
F23,SYBR,,Unkn,RD_9i,30.5475182,NaN
F24,SYBR,,Unkn,RD_9i,30.61329278,NaN
