,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,,Unkn,BO_2,25.9293097508483,NaN
,A02,Cy5,,Unkn,BO_2,25.7116033346259,NaN
,A03,Cy5,,Unkn,BO_2,25.7986276048749,NaN
,A04,Cy5,,Unkn,BO_6,25.572395777899,NaN
,A05,Cy5,,Unkn,BO_6,25.6771054777861,NaN
,A06,Cy5,,Unkn,BO_6,25.536850807146,NaN
,A08,Cy5,,Unkn,C2_2,25.9278123426115,NaN
,A09,Cy5,,Unkn,C2_2,25.9556044794717,NaN
,A10,Cy5,,Unkn,C2_2,25.9676916868192,NaN
,A11,Cy5,,Unkn,C2_6,25.8331313137923,NaN
,A12,Cy5,,Unkn,C2_6,25.8070242721731,NaN
,A13,Cy5,,Unkn,C2_6,25.8365855394237,NaN
,A15,Cy5,,Unkn,RD_2,25.9519062728671,NaN
,A16,Cy5,,Unkn,RD_2,25.9010929822657,NaN
,A17,Cy5,,Unkn,RD_2,25.8938320991469,NaN
,A18,Cy5,,Unkn,RD_6,25.8385952412337,NaN
,A19,Cy5,,Unkn,RD_6,25.8060971303242,NaN
,A20,Cy5,,Unkn,RD_6,25.7623211560028,NaN
,A24,Cy5,,Pos Ctrl,E3,26.0242625813737,NaN
,B24,Cy5,,Pos Ctrl,E3,25.9210041421421,NaN
,C01,Cy5,,Unkn,BO_3,25.9714491678372,NaN
,C02,Cy5,,Unkn,BO_3,25.8812783136345,NaN
,C03,Cy5,,Unkn,BO_3,25.7866812365761,NaN
,C04,Cy5,,Unkn,BO_8,25.7121744291013,NaN
,C05,Cy5,,Unkn,BO_8,25.7524520190645,NaN
,C06,Cy5,,Unkn,BO_8,25.5823101267832,NaN
,C08,Cy5,,Unkn,C2_3,25.7020606405621,NaN
,C09,Cy5,,Unkn,C2_3,25.8559571467479,NaN
,C10,Cy5,,Unkn,C2_3,25.779098953143,NaN
,C11,Cy5,,Unkn,C2_8,25.5772024094181,NaN
,C12,Cy5,,Unkn,C2_8,25.589251275555,NaN
,C13,Cy5,,Unkn,C2_8,25.6303819726479,NaN
,C15,Cy5,,Unkn,RD_3,25.7960485701971,NaN
,C16,Cy5,,Unkn,RD_3,25.6431456771817,NaN
,C17,Cy5,,Unkn,RD_3,25.7312805891273,NaN
,C18,Cy5,,Unkn,RD_8,25.5383992356884,NaN
,C19,Cy5,,Unkn,RD_8,25.5763196530708,NaN
,C20,Cy5,,Unkn,RD_8,25.5888263416229,NaN
,C24,Cy5,,Pos Ctrl,E3,26.0043213095868,NaN
,E01,Cy5,,Unkn,BO_4,25.7831647754423,NaN
,E02,Cy5,,Unkn,BO_4,25.756103786298,NaN
,E03,Cy5,,Unkn,BO_4,25.833106372929,NaN
,E04,Cy5,,Unkn,BO_9,25.746179613545,NaN
,E05,Cy5,,Unkn,BO_9,25.6565252998714,NaN
,E06,Cy5,,Unkn,BO_9,25.6050481948588,NaN
,E08,Cy5,,Unkn,C2_4,25.7016889146332,NaN
,E09,Cy5,,Unkn,C2_4,25.838309269834,NaN
,E10,Cy5,,Unkn,C2_4,25.731845308198,NaN
,E11,Cy5,,Unkn,C2_9,25.6195843848057,NaN
,E12,Cy5,,Unkn,C2_9,25.6401306362765,NaN
,E13,Cy5,,Unkn,C2_9,25.5758368818176,NaN
,E15,Cy5,,Unkn,RD_4,25.5640526326119,NaN
,E16,Cy5,,Unkn,RD_4,25.5438926369815,NaN
,E17,Cy5,,Unkn,RD_4,25.803854075182,NaN
,E18,Cy5,,Unkn,RD_9,25.6932241682287,NaN
,E19,Cy5,,Unkn,RD_9,25.6828468097994,NaN
,E20,Cy5,,Unkn,RD_9,25.6130153970126,NaN
,G01,Cy5,,Unkn,BO_5_11,25.7765443023244,NaN
,G02,Cy5,,Unkn,BO_5_11,25.6656555956575,NaN
,G03,Cy5,,Unkn,BO_5_11,25.5086525682196,NaN
,G04,Cy5,,Unkn,BO_10,25.515655615331,NaN
,G05,Cy5,,Unkn,BO_10,25.498062781606,NaN
,G06,Cy5,,Unkn,BO_10,25.4114635315655,NaN
,G08,Cy5,,Unkn,C2_5_11,25.6154018591128,NaN
,G09,Cy5,,Unkn,C2_5_11,25.5296497898378,NaN
,G10,Cy5,,Unkn,C2_5_11,25.7250133938132,NaN
,G11,Cy5,,Unkn,C2_10,25.69596451264,NaN
,G12,Cy5,,Unkn,C2_10,25.4687856807389,NaN
,G13,Cy5,,Unkn,C2_10,25.5033265307931,NaN
,G15,Cy5,,Unkn,RD_5_11,25.6927180199773,NaN
,G16,Cy5,,Unkn,RD_5_11,25.8241236324561,NaN
,G17,Cy5,,Unkn,RD_5_11,25.8076402139575,NaN
,G18,Cy5,,Unkn,RD_10,25.4164412071745,NaN
,G19,Cy5,,Unkn,RD_10,25.5662145228138,NaN
,G20,Cy5,,Unkn,RD_10,25.7153884133915,NaN
,I01,Cy5,,Unkn,BO_5_20,25.7372431211406,NaN
,I02,Cy5,,Unkn,BO_5_20,25.8641114583814,NaN
,I03,Cy5,,Unkn,BO_5_20,25.605410208359,NaN
,I04,Cy5,,Unkn,BO_11,25.5147656707029,NaN
,I05,Cy5,,Unkn,BO_11,25.4764258316502,NaN
,I06,Cy5,,Unkn,BO_11,25.3925359447813,NaN
,I08,Cy5,,Unkn,C2_5_20,25.7939719316433,NaN
,I09,Cy5,,Unkn,C2_5_20,25.788910013335,NaN
,I10,Cy5,,Unkn,C2_5_20,25.4071453795727,NaN
