Sample,Cq,log(SQ),SQ (copies / 킠 / well),SQ Including any dilution (copies/킠/well),Copies per assay,Fill in 50%LOD for NA,Back to copies/킠/well,DNA Elutant Volume (킠),Filter Amount,Concentration Factor (킠/mL),Copies/mL,,,Dilution Factor,,,
BO_11,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,Blind Oso,10,,
BO_11,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,Canals,1,,
BO_11,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,Gulf,1,,
BO_12,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,50,2,0.916666667,,,,,,
BO_12,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,50,2,0.916666667,,,Filter Amount (mL),,,
BO_12,36.64226527,0.282703058,1.917357332,19.17357332,23.00828798,23.00828798,19.17357332,100,50,2,38.34714663,,,Blind Oso,100,50,30
BO_13,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,50,2,0.916666667,,,Canals,100,,
BO_13,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,50,2,0.916666667,,,Gulf,100,,
BO_13,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,50,2,0.916666667,,,,,,
BO_14,36.04319653,0.458434577,2.873654665,28.73654665,34.48385599,34.48385599,28.73654665,100,50,2,57.47309331,,,Equation of line from standard curve,,,
BO_14,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,50,2,0.916666667,,,(Cq -37.606) / -3.409,,,
BO_14,35.94245752,0.487985474,3.075993929,30.75993929,36.91192715,36.91192715,30.75993929,100,50,2,61.51987859,,,,,,
BO_15,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,50,2,0.916666667,,,DNA Template Volume (킠),,,
BO_15,36.90292132,0.206241911,1.607836603,16.07836603,19.29403924,19.29403924,16.07836603,100,50,2,32.15673207,,,1.2,,,
BO_15,35.85292138,0.51425011,3.267759681,32.67759681,39.21311617,39.21311617,32.67759681,100,50,2,65.35519362,,,,,,
BO_16,34.26817508,0.979121419,9.530625826,95.30625826,114.3675099,114.3675099,95.30625826,100,30,3.333333333,317.6875275,,,LOD,1.09 copies/assay,,
BO_16,35.09094817,0.737768209,5.467240885,54.67240885,65.60689062,65.60689062,54.67240885,100,30,3.333333333,182.2413628,,,50% LOD,0.55 copies/assay,,
BO_16,35.71925431,0.553460161,3.576515904,35.76515904,42.91819085,42.91819085,35.76515904,100,30,3.333333333,119.2171968,,,,,,
BO_17,36.79027268,0.239286396,1.734947733,17.34947733,20.8193728,20.8193728,17.34947733,100,30,3.333333333,57.83159111,,,,,,
BO_17,34.4651415,0.921343064,8.343399972,83.43399972,100.1207997,100.1207997,83.43399972,100,30,3.333333333,278.1133324,,,,,,
BO_17,35.72647309,0.551342597,3.559119719,35.59119719,42.70943663,42.70943663,35.59119719,100,30,3.333333333,118.637324,,,,,,
BO_18,35.58197,0.5937313,3.924020793,39.24020793,47.08824952,47.08824952,39.24020793,100,30,3.333333333,130.8006931,,,,,,
BO_18,35.54085746,0.605791299,4.034514673,40.34514673,48.41417607,48.41417607,40.34514673,100,30,3.333333333,134.4838224,,,,,,
BO_18,35.16917702,0.71482047,5.1858562,51.858562,62.2302744,62.2302744,51.858562,100,30,3.333333333,172.8618733,,,,,,
BO_19,36.59697202,0.295989434,1.976921542,19.76921542,23.72305851,23.72305851,19.76921542,100,30,3.333333333,65.89738474,,,,,,
BO_19,34.56817874,0.891118,7.782479766,77.82479766,93.38975719,93.38975719,77.82479766,100,30,3.333333333,259.4159922,,,,,,
BO_19,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
BO_7,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
BO_7,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
BO_7,35.10779035,0.732827705,5.405398356,54.05398356,64.86478027,64.86478027,54.05398356,100,100,1,54.05398356,,,,,,
BO_8,35.38321359,0.652034735,4.487812819,44.87812819,53.85375383,53.85375383,44.87812819,100,100,1,44.87812819,,,,,,
BO_8,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
BO_8,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
BO_9,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
BO_9,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
BO_9,NaN,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.55,0.458333333,100,100,1,0.458333333,,,,,,
