,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,,Unkn,BO_2,25.5637509846497,NaN
,A02,Cy5,,Unkn,BO_2,24.9782082552277,NaN
,A03,Cy5,,Unkn,BO_2,25.0177791634774,NaN
,A05,Cy5,,Unkn,C2_2,25.182872659649,NaN
,A06,Cy5,,Unkn,C2_2,25.2697817797469,NaN
,A07,Cy5,,Unkn,C2_2,25.4147100181601,NaN
,A09,Cy5,,Unkn,RD_2,25.1418210336149,NaN
,A10,Cy5,,Unkn,RD_2,25.0325527523877,NaN
,A11,Cy5,,Unkn,RD_2,25.4068785409181,NaN
,A13,Cy5,,Unkn,BO_2_i,25.0593839301533,NaN
,A14,Cy5,,Unkn,BO_2_i,25.3650644166692,NaN
,A15,Cy5,,Unkn,BO_2_i,25.2124210824355,NaN
,A17,Cy5,,Unkn,C2_2_i,25.288512164587,NaN
,A18,Cy5,,Unkn,C2_2_i,25.1794717850312,NaN
,A19,Cy5,,Unkn,C2_2_i,25.1942364865833,NaN
,A21,Cy5,,Unkn,RD_2_i,25.7612157484781,NaN
,A22,Cy5,,Unkn,RD_2_i,25.1631248071592,NaN
,A23,Cy5,,Unkn,RD_2_i,25.3221496718594,NaN
,B01,Cy5,,Unkn,BO_6,25.52028668839,NaN
,B02,Cy5,,Unkn,BO_6,25.2220505666526,NaN
,B03,Cy5,,Unkn,BO_6,25.3107416734207,NaN
,B05,Cy5,,Unkn,C2_6,25.437077274168,NaN
,B06,Cy5,,Unkn,C2_6,25.3396730052375,NaN
,B07,Cy5,,Unkn,C2_6,25.3160959407742,NaN
,B09,Cy5,,Unkn,RD_6,25.3566404902393,NaN
,B10,Cy5,,Unkn,RD_6,25.3368111256567,NaN
,B11,Cy5,,Unkn,RD_6,25.4738155187299,NaN
,B13,Cy5,,Unkn,BO_6_i,25.3148405193053,NaN
,B14,Cy5,,Unkn,BO_6_i,25.3665929620759,NaN
,B15,Cy5,,Unkn,BO_6_i,25.3789025630943,NaN
,B17,Cy5,,Unkn,C2_6_i,25.1227513347204,NaN
,B18,Cy5,,Unkn,C2_6_i,25.3026152894394,NaN
,B19,Cy5,,Unkn,C2_6_i,25.2078856490955,NaN
,B21,Cy5,,Unkn,RD_6_i,25.2052859417485,NaN
,B22,Cy5,,Unkn,RD_6_i,25.0886734352834,NaN
,B23,Cy5,,Unkn,RD_6_i,25.1992996128425,NaN
,C01,Cy5,,Unkn,BO_3,24.8450161162419,NaN
,C02,Cy5,,Unkn,BO_3,25.2740458989876,NaN
,C03,Cy5,,Unkn,BO_3,25.0766773616775,NaN
,C05,Cy5,,Unkn,C2_3,25.143733223339,NaN
,C06,Cy5,,Unkn,C2_3,25.2186506045616,NaN
,C07,Cy5,,Unkn,C2_3,25.0023598896268,NaN
,C09,Cy5,,Unkn,RD_3,25.4442097065864,NaN
,C10,Cy5,,Unkn,RD_3,25.1280383921702,NaN
,C11,Cy5,,Unkn,RD_3,25.0011217444981,NaN
,C13,Cy5,,Unkn,BO_3_i,24.964585162091,NaN
,C14,Cy5,,Unkn,BO_3_i,25.0158981668426,NaN
,C15,Cy5,,Unkn,BO_3_i,24.9963659531828,NaN
,C17,Cy5,,Unkn,C2_3_i,25.0933140004474,NaN
,C18,Cy5,,Unkn,C2_3_i,25.1605811267703,NaN
,C19,Cy5,,Unkn,C2_3_i,25.1984457443849,NaN
,C21,Cy5,,Unkn,RD_3_i,25.2916142189131,NaN
,C22,Cy5,,Unkn,RD_3_i,25.1421796236932,NaN
,C23,Cy5,,Unkn,RD_3_i,24.1064089105118,NaN
,D01,Cy5,,Unkn,BO_8,25.346886823037,NaN
,D02,Cy5,,Unkn,BO_8,25.0794181634928,NaN
,D03,Cy5,,Unkn,BO_8,25.2398663918145,NaN
,D05,Cy5,,Unkn,C2_8,25.2348386529462,NaN
,D06,Cy5,,Unkn,C2_8,25.2890030524108,NaN
,D07,Cy5,,Unkn,C2_8,25.329678113453,NaN
,D09,Cy5,,Unkn,RD_8,25.1843270641988,NaN
,D10,Cy5,,Unkn,RD_8,25.9783361442221,NaN
,D11,Cy5,,Unkn,RD_8,25.2310779470476,NaN
,D13,Cy5,,Unkn,BO_8_i,25.3744167012005,NaN
,D14,Cy5,,Unkn,BO_8_i,25.0263609842321,NaN
,D15,Cy5,,Unkn,BO_8_i,25.1557667785938,NaN
,D17,Cy5,,Unkn,C2_8_i,25.0234590035011,NaN
,D18,Cy5,,Unkn,C2_8_i,25.3195042495,NaN
,D19,Cy5,,Unkn,C2_8_i,24.8910603905401,NaN
,D21,Cy5,,Unkn,RD_8_i,26.445484529558,NaN
,D22,Cy5,,Unkn,RD_8_i,25.344465986127,NaN
,D23,Cy5,,Unkn,RD_8_i,24.0719411808367,NaN
,E01,Cy5,,Unkn,BO_4,25.2669205315562,NaN
,E02,Cy5,,Unkn,BO_4,25.2719558896776,NaN
,E03,Cy5,,Unkn,BO_4,25.2703228881261,NaN
,E05,Cy5,,Unkn,C2_4,25.032320983643,NaN
,E06,Cy5,,Unkn,C2_4,25.2010770648538,NaN
,E07,Cy5,,Unkn,C2_4,25.3359587970817,NaN
,E09,Cy5,,Unkn,RD_4,24.7370836525196,NaN
,E10,Cy5,,Unkn,RD_4,25.0320993849911,NaN
,E11,Cy5,,Unkn,RD_4,24.3654500702571,NaN
,E13,Cy5,,Unkn,BO_4_i,23.6166362374774,NaN
,E14,Cy5,,Unkn,BO_4_i,24.7213203067966,NaN
,E15,Cy5,,Unkn,BO_4_i,25.0477944348718,NaN
,E17,Cy5,,Unkn,C2_4_i,25.9048183774854,NaN
,E18,Cy5,,Unkn,C2_4_i,25.114924025082,NaN
,E19,Cy5,,Unkn,C2_4_i,25.3461029777211,NaN
,E21,Cy5,,Unkn,RD_4_i,25.123435518912,NaN
,E22,Cy5,,Unkn,RD_4_i,25.1832988183786,NaN
,E23,Cy5,,Unkn,RD_4_i,24.8921098003903,NaN
,F01,Cy5,,Unkn,BO_9,25.585697843699,NaN
,F02,Cy5,,Unkn,BO_9,25.3285738461525,NaN
,F03,Cy5,,Unkn,BO_9,25.5804358831963,NaN
,F05,Cy5,,Unkn,C2_9,25.3198156097041,NaN
,F06,Cy5,,Unkn,C2_9,25.3318166673086,NaN
,F07,Cy5,,Unkn,C2_9,25.1771058938602,NaN
,F09,Cy5,,Unkn,RD_9,25.3305898943109,NaN
,F10,Cy5,,Unkn,RD_9,25.1492992314541,NaN
,F11,Cy5,,Unkn,RD_9,24.9845014511407,NaN
,F13,Cy5,,Unkn,BO_9_i,25.1607237379572,NaN
,F14,Cy5,,Unkn,BO_9_i,24.7584546713249,NaN
,F15,Cy5,,Unkn,BO_9_i,25.0433547100183,NaN
,F17,Cy5,,Unkn,C2_9_i,24.2494806539816,NaN
,F18,Cy5,,Unkn,C2_9_i,23.9653258378296,NaN
,F19,Cy5,,Unkn,C2_9_i,24.3896904954589,NaN
,F21,Cy5,,Unkn,RD_9_i,23.9934767613877,NaN
,F22,Cy5,,Unkn,RD_9_i,25.0484135024864,NaN
,F23,Cy5,,Unkn,RD_9_i,24.9008444793082,NaN
,G01,Cy5,,Unkn,BO_5_11,25.3718274930931,NaN
,G02,Cy5,,Unkn,BO_5_11,25.2055344540449,NaN
,G03,Cy5,,Unkn,BO_5_11,25.0505025464374,NaN
,G05,Cy5,,Unkn,C2_5_11,25.1988521178463,NaN
,G06,Cy5,,Unkn,C2_5_11,25.1344178500412,NaN
,G07,Cy5,,Unkn,C2_5_11,25.0244700321143,NaN
,G09,Cy5,,Unkn,RD_5_11,24.1085738996048,NaN
,G10,Cy5,,Unkn,RD_5_11,25.0760989005608,NaN
,G11,Cy5,,Unkn,RD_5_11,25.1114770087802,NaN
,G13,Cy5,,Unkn,BO_5_11_i,24.4866535095214,NaN
,G14,Cy5,,Unkn,BO_5_11_i,24.9564060148755,NaN
,G15,Cy5,,Unkn,BO_5_11_i,24.8082508037184,NaN
,G17,Cy5,,Unkn,C2_5_11_i,24.7151182626686,NaN
,G18,Cy5,,Unkn,C2_5_11_i,23.6585808890298,NaN
,G19,Cy5,,Unkn,C2_5_11_i,25.1533950433314,NaN
,G21,Cy5,,Unkn,RD_5_11_i,24.98293290053,NaN
,G22,Cy5,,Unkn,RD_5_11_i,25.1771029680582,NaN
,G23,Cy5,,Unkn,RD_5_11_i,23.8150547056564,NaN
,H01,Cy5,,Unkn,BO_10,24.8833616939818,NaN
,H02,Cy5,,Unkn,BO_10,25.0777335160108,NaN
,H03,Cy5,,Unkn,BO_10,25.3986103317771,NaN
,H05,Cy5,,Unkn,C2_10,25.5365499466699,NaN
,H06,Cy5,,Unkn,C2_10,25.2694660498568,NaN
,H07,Cy5,,Unkn,C2_10,25.0277482876486,NaN
,H09,Cy5,,Unkn,RD_10,25.2180077798966,NaN
,H10,Cy5,,Unkn,RD_10,25.2575549812969,NaN
,H11,Cy5,,Unkn,RD_10,25.0617804014695,NaN
,H13,Cy5,,Unkn,BO_10_i,25.0376953447452,NaN
,H14,Cy5,,Unkn,BO_10_i,24.4601137595346,NaN
,H15,Cy5,,Unkn,BO_10_i,24.752647694715,NaN
