Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,BO_2,28.22265764,NaN
A02,SYBR,,Unkn,BO_2,28.1641411,NaN
A03,SYBR,,Unkn,BO_2,28.42979954,NaN
A05,SYBR,,Unkn,C2_2,28.38957941,NaN
A06,SYBR,,Unkn,C2_2,28.32650365,NaN
A07,SYBR,,Unkn,C2_2,27.77660933,NaN
A09,SYBR,,Unkn,RD_2,28.40816806,NaN
A10,SYBR,,Unkn,RD_2,28.31787264,NaN
A11,SYBR,,Unkn,RD_2,28.46309449,NaN
A14,SYBR,,Unkn,BO_2i,NaN,NaN
A15,SYBR,,Unkn,BO_2i,NaN,NaN
A16,SYBR,,Unkn,BO_2i,NaN,NaN
A18,SYBR,,Unkn,C2_2i,NaN,NaN
A19,SYBR,,Unkn,C2_2i,NaN,NaN
A20,SYBR,,Unkn,C2_2i,NaN,NaN
A22,SYBR,,Unkn,RD_2i,NaN,NaN
A23,SYBR,,Unkn,RD_2i,NaN,NaN
A24,SYBR,,Unkn,RD_2i,NaN,NaN
B01,SYBR,,Unkn,BO_6,28.17779886,NaN
B02,SYBR,,Unkn,BO_6,28.02224843,NaN
B03,SYBR,,Unkn,BO_6,28.31430022,NaN
B05,SYBR,,Unkn,C2_6,28.14399269,NaN
B06,SYBR,,Unkn,C2_6,28.028526,NaN
B07,SYBR,,Unkn,C2_6,28.19341474,NaN
B09,SYBR,,Unkn,RD_6,28.40073415,NaN
B10,SYBR,,Unkn,RD_6,28.30602158,NaN
B11,SYBR,,Unkn,RD_6,28.57670909,NaN
B14,SYBR,,Unkn,BO_6i,NaN,NaN
B15,SYBR,,Unkn,BO_6i,NaN,NaN
B16,SYBR,,Unkn,BO_6i,NaN,NaN
B18,SYBR,,Unkn,C2_6i,NaN,NaN
B19,SYBR,,Unkn,C2_6i,NaN,NaN
B20,SYBR,,Unkn,C2_6i,NaN,NaN
B22,SYBR,,Unkn,RD_6i,NaN,NaN
B23,SYBR,,Unkn,RD_6i,NaN,NaN
B24,SYBR,,Unkn,RD_6i,NaN,NaN
C01,SYBR,,Unkn,BO_3,28.10561326,NaN
C02,SYBR,,Unkn,BO_3,28.04967251,NaN
C03,SYBR,,Unkn,BO_3,28.56154437,NaN
C05,SYBR,,Unkn,C2_3,28.23317864,NaN
C06,SYBR,,Unkn,C2_3,28.07614537,NaN
C07,SYBR,,Unkn,C2_3,28.23644949,NaN
C09,SYBR,,Unkn,RD_3,28.2566813,NaN
C10,SYBR,,Unkn,RD_3,28.20590731,NaN
C11,SYBR,,Unkn,RD_3,28.45062933,NaN
C14,SYBR,,Unkn,BO_3i,NaN,NaN
C15,SYBR,,Unkn,BO_3i,NaN,NaN
C16,SYBR,,Unkn,BO_3i,NaN,NaN
C18,SYBR,,Unkn,C2_3i,NaN,NaN
C19,SYBR,,Unkn,C2_3i,NaN,NaN
C20,SYBR,,Unkn,C2_3i,NaN,NaN
C22,SYBR,,Unkn,RD_3i,NaN,NaN
C23,SYBR,,Unkn,RD_3i,NaN,NaN
C24,SYBR,,Unkn,RD_3i,NaN,NaN
D01,SYBR,,Unkn,BO_8,28.17199715,NaN
D02,SYBR,,Unkn,BO_8,28.06959445,NaN
D03,SYBR,,Unkn,BO_8,28.29750974,NaN
D05,SYBR,,Unkn,C2_8,27.59137464,NaN
D06,SYBR,,Unkn,C2_8,27.6525869,NaN
D07,SYBR,,Unkn,C2_8,27.72480946,NaN
D09,SYBR,,Unkn,RD_8,28.17426806,NaN
D10,SYBR,,Unkn,RD_8,28.19760875,NaN
D11,SYBR,,Unkn,RD_8,28.29732953,NaN
D14,SYBR,,Unkn,BO_8i,NaN,NaN
D15,SYBR,,Unkn,BO_8i,NaN,NaN
D16,SYBR,,Unkn,BO_8i,NaN,NaN
D18,SYBR,,Unkn,C2_8i,NaN,NaN
D19,SYBR,,Unkn,C2_8i,NaN,NaN
D20,SYBR,,Unkn,C2_8i,NaN,NaN
D22,SYBR,,Unkn,RD_8i,NaN,NaN
D23,SYBR,,Unkn,RD_8i,NaN,NaN
D24,SYBR,,Unkn,RD_8i,NaN,NaN
E01,SYBR,,Unkn,BO_4,27.98722972,NaN
E02,SYBR,,Unkn,BO_4,28.15538103,NaN
E03,SYBR,,Unkn,BO_4,28.26156971,NaN
E05,SYBR,,Unkn,C2_4,28.08672908,NaN
E06,SYBR,,Unkn,C2_4,27.89424421,NaN
E07,SYBR,,Unkn,C2_4,28.16988083,NaN
E09,SYBR,,Unkn,RD_4,28.12393646,NaN
E10,SYBR,,Unkn,RD_4,28.09620567,NaN
E11,SYBR,,Unkn,RD_4,28.20204049,NaN
E14,SYBR,,Unkn,BO_4i,NaN,NaN
E15,SYBR,,Unkn,BO_4i,NaN,NaN
E16,SYBR,,Unkn,BO_4i,NaN,NaN
E18,SYBR,,Unkn,C2_4i,NaN,NaN
E19,SYBR,,Unkn,C2_4i,NaN,NaN
E20,SYBR,,Unkn,C2_4i,NaN,NaN
E22,SYBR,,Unkn,RD_4i,NaN,NaN
E23,SYBR,,Unkn,RD_4i,44.96110309,NaN
E24,SYBR,,Unkn,RD_4i,44.53720794,NaN
F01,SYBR,,Unkn,BO_9,28.14237195,NaN
F02,SYBR,,Unkn,BO_9,28.14812688,NaN
F03,SYBR,,Unkn,BO_9,28.11995751,NaN
F05,SYBR,,Unkn,C2_9,27.75303741,NaN
F06,SYBR,,Unkn,C2_9,27.92084472,NaN
F07,SYBR,,Unkn,C2_9,28.06318377,NaN
F09,SYBR,,Unkn,RD_9,27.78120638,NaN
F10,SYBR,,Unkn,RD_9,28.09062616,NaN
F11,SYBR,,Unkn,RD_9,28.21177473,NaN
F14,SYBR,,Unkn,BO_9i,NaN,NaN
F15,SYBR,,Unkn,BO_9i,NaN,NaN
F16,SYBR,,Unkn,BO_9i,NaN,NaN
F18,SYBR,,Unkn,C2_9i,NaN,NaN
F19,SYBR,,Unkn,C2_9i,NaN,NaN
F20,SYBR,,Unkn,C2_9i,NaN,NaN
F22,SYBR,,Unkn,RD_9i,NaN,NaN
F23,SYBR,,Unkn,RD_9i,NaN,NaN
F24,SYBR,,Unkn,RD_9i,NaN,NaN
G01,SYBR,,Unkn,BO_5_11,27.89105475,NaN
G02,SYBR,,Unkn,BO_5_11,27.70458754,NaN
G03,SYBR,,Unkn,BO_5_11,28.16757011,NaN
G05,SYBR,,Unkn,C2_5_11,28.04825024,NaN
G06,SYBR,,Unkn,C2_5_11,27.91645168,NaN
G07,SYBR,,Unkn,C2_5_11,27.99081041,NaN
G09,SYBR,,Unkn,RD_5_11,28.02783042,NaN
G10,SYBR,,Unkn,RD_5_11,28.11328749,NaN
G11,SYBR,,Unkn,RD_5_11,28.16814803,NaN
G14,SYBR,,Unkn,BO_5_11i,NaN,NaN
G15,SYBR,,Unkn,BO_5_11i,NaN,NaN
G16,SYBR,,Unkn,BO_5_11i,NaN,NaN
G18,SYBR,,Unkn,C2_5_11i,NaN,NaN
G19,SYBR,,Unkn,C2_5_11i,NaN,NaN
G20,SYBR,,Unkn,C2_5_11i,NaN,NaN
G22,SYBR,,Unkn,RD_5_11i,NaN,NaN
G23,SYBR,,Unkn,RD_5_11i,NaN,NaN
G24,SYBR,,Unkn,RD_5_11i,NaN,NaN
H01,SYBR,,Unkn,BO_10,27.9519406,NaN
H02,SYBR,,Unkn,BO_10,28.04079085,NaN
H03,SYBR,,Unkn,BO_10,28.17641783,NaN
H05,SYBR,,Unkn,C2_10,27.79836436,NaN
H06,SYBR,,Unkn,C2_10,27.84450953,NaN
H07,SYBR,,Unkn,C2_10,27.85567905,NaN
H09,SYBR,,Unkn,RD_10,28.13075113,NaN
H10,SYBR,,Unkn,RD_10,27.98571514,NaN
H11,SYBR,,Unkn,RD_10,28.08657539,NaN
H14,SYBR,,Unkn,BO_10i,NaN,NaN
H15,SYBR,,Unkn,BO_10i,NaN,NaN
H16,SYBR,,Unkn,BO_10i,NaN,NaN
H18,SYBR,,Unkn,C2_10i,NaN,NaN
H19,SYBR,,Unkn,C2_10i,NaN,NaN
H20,SYBR,,Unkn,C2_10i,NaN,NaN
H22,SYBR,,Unkn,RD_10i,NaN,NaN
H23,SYBR,,Unkn,RD_10i,41.48965753,NaN
H24,SYBR,,Unkn,RD_10i,NaN,NaN
I01,SYBR,,Unkn,BO_5_20,27.70953638,NaN
I02,SYBR,,Unkn,BO_5_20,27.68361178,NaN
I03,SYBR,,Unkn,BO_5_20,28.04412922,NaN
I05,SYBR,,Unkn,C2_5_20,28.04015386,NaN
I06,SYBR,,Unkn,C2_5_20,27.94194972,NaN
I07,SYBR,,Unkn,C2_5_20,27.97286145,NaN
I09,SYBR,,Unkn,RD_5_20,27.97393935,NaN
