,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,BO_7,NaN,NaN
,A02,SYBR,,Unkn,BO_7,NaN,NaN
,A03,SYBR,,Unkn,BO_7,NaN,NaN
,A07,SYBR,,Unkn,BO_14,NaN,NaN
,A08,SYBR,,Unkn,BO_14,NaN,NaN
,A09,SYBR,,Unkn,BO_14,NaN,NaN
,A13,SYBR,,Unkn,BO_7i,31.717309506104,NaN
,A14,SYBR,,Unkn,BO_7i,31.7483620811933,NaN
,A15,SYBR,,Unkn,BO_7i,31.6755830448544,NaN
,A22,SYBR,,Pos Ctrl,,31.1755627902942,NaN
,A23,SYBR,,Pos Ctrl,,31.143405419881,NaN
,A24,SYBR,,Pos Ctrl,,31.2148419219226,NaN
,C01,SYBR,,Unkn,BO_8,36.894121503626,NaN
,C02,SYBR,,Unkn,BO_8,37.8326817799325,NaN
,C03,SYBR,,Unkn,BO_8,NaN,NaN
,C07,SYBR,,Unkn,BO_15,36.4901763953681,NaN
,C08,SYBR,,Unkn,BO_15,NaN,NaN
,C09,SYBR,,Unkn,BO_15,NaN,NaN
,C13,SYBR,,Unkn,BO_9i,31.6252927226067,NaN
,C14,SYBR,,Unkn,BO_9i,31.4230153758929,NaN
,C15,SYBR,,Unkn,BO_9i,31.5956833783675,NaN
,E01,SYBR,,Unkn,BO_9,NaN,NaN
,E02,SYBR,,Unkn,BO_9,NaN,NaN
,E03,SYBR,,Unkn,BO_9,36.6517586885021,NaN
,E07,SYBR,,Unkn,BO_16,NaN,NaN
,E08,SYBR,,Unkn,BO_16,NaN,NaN
,E09,SYBR,,Unkn,BO_16,36.06847371775,NaN
,E13,SYBR,,Unkn,BO_11i,31.4599464016293,NaN
,E14,SYBR,,Unkn,BO_11i,31.4558972207512,NaN
,E15,SYBR,,Unkn,BO_11i,31.2604557011382,NaN
,G01,SYBR,,Unkn,BO_11,NaN,NaN
,G02,SYBR,,Unkn,BO_11,NaN,NaN
,G03,SYBR,,Unkn,BO_11,NaN,NaN
,G07,SYBR,,Unkn,BO_17,NaN,NaN
,G08,SYBR,,Unkn,BO_17,NaN,NaN
,G09,SYBR,,Unkn,BO_17,34.9836969126395,NaN
,G13,SYBR,,Unkn,BO_13i,32.4585847571451,NaN
,G14,SYBR,,Unkn,BO_13i,32.4514136323406,NaN
,G15,SYBR,,Unkn,BO_13i,33.0061278811972,NaN
,I01,SYBR,,Unkn,BO_12,NaN,NaN
,I02,SYBR,,Unkn,BO_12,NaN,NaN
,I03,SYBR,,Unkn,BO_12,NaN,NaN
,I07,SYBR,,Unkn,BO_18,NaN,NaN
,I08,SYBR,,Unkn,BO_18,37.6059696374217,NaN
,I09,SYBR,,Unkn,BO_18,NaN,NaN
,I13,SYBR,,Unkn,BO_15i,31.3814295609891,NaN
,I14,SYBR,,Unkn,BO_15i,31.4169981990765,NaN
,I15,SYBR,,Unkn,BO_15i,31.265040945098,NaN
,K01,SYBR,,Unkn,BO_13,NaN,NaN
,K02,SYBR,,Unkn,BO_13,NaN,NaN
,K03,SYBR,,Unkn,BO_13,NaN,NaN
,K07,SYBR,,Unkn,BO_19,NaN,NaN
,K08,SYBR,,Unkn,BO_19,NaN,NaN
,K09,SYBR,,Unkn,BO_19,NaN,NaN
,K13,SYBR,,Unkn,BO_18i,31.5236135678515,NaN
,K14,SYBR,,Unkn,BO_18i,31.4913371486841,NaN
,K15,SYBR,,Unkn,BO_18i,31.4204575334301,NaN
,P22,SYBR,,NTC,,NaN,NaN
,P23,SYBR,,NTC,,NaN,NaN
,P24,SYBR,,NTC,,NaN,NaN
