,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,BO_7,NaN,NaN
,A02,SYBR,,Unkn,BO_7,NaN,NaN
,A07,SYBR,,Unkn,BO_14,36.9884484869238,NaN
,A08,SYBR,,Unkn,BO_14,NaN,NaN
,A13,SYBR,,Unkn,BO_7i,31.526991870658,NaN
,A14,SYBR,,Unkn,BO_7i,31.9227410831825,NaN
,A23,SYBR,,Pos Ctrl,,32.0015850244079,NaN
,A24,SYBR,,Pos Ctrl,,31.6667776615024,NaN
,C01,SYBR,,Unkn,BO_8,NaN,NaN
,C02,SYBR,,Unkn,BO_8,36.8139047228422,NaN
,C07,SYBR,,Unkn,BO_15,NaN,NaN
,C08,SYBR,,Unkn,BO_15,NaN,NaN
,C13,SYBR,,Unkn,BO_9i,31.404725597725,NaN
,C14,SYBR,,Unkn,BO_9i,31.3365025922922,NaN
,E01,SYBR,,Unkn,BO_9,NaN,NaN
,E02,SYBR,,Unkn,BO_9,NaN,NaN
,E07,SYBR,,Unkn,BO_16,NaN,NaN
,E08,SYBR,,Unkn,BO_16,36.7606469540145,NaN
,E13,SYBR,,Unkn,BO_11i,31.4165242774658,NaN
,E14,SYBR,,Unkn,BO_11i,31.2986114503674,NaN
,G01,SYBR,,Unkn,BO_11,NaN,NaN
,G02,SYBR,,Unkn,BO_11,NaN,NaN
,G07,SYBR,,Unkn,BO_17,37.7911298255697,NaN
,G08,SYBR,,Unkn,BO_17,NaN,NaN
,G13,SYBR,,Unkn,BO_13i,31.5535564990258,NaN
,G14,SYBR,,Unkn,BO_13i,31.2044986508554,NaN
,I01,SYBR,,Unkn,BO_12,NaN,NaN
,I02,SYBR,,Unkn,BO_12,NaN,NaN
,I07,SYBR,,Unkn,BO_18,NaN,NaN
,I08,SYBR,,Unkn,BO_18,NaN,NaN
,I13,SYBR,,Unkn,BO_15i,31.3783601430016,NaN
,I14,SYBR,,Unkn,BO_15i,31.1804437864795,NaN
,K01,SYBR,,Unkn,BO_13,NaN,NaN
,K02,SYBR,,Unkn,BO_13,NaN,NaN
,K07,SYBR,,Unkn,BO_19,NaN,NaN
,K08,SYBR,,Unkn,BO_19,NaN,NaN
,K13,SYBR,,Unkn,BO_18i,31.2638510416564,NaN
,K14,SYBR,,Unkn,BO_18i,31.2872703673119,NaN
,P23,SYBR,,NTC,,NaN,NaN
,P24,SYBR,,NTC,,NaN,NaN
