Well,Fluor,Target,Content,Sample,Cq,SQ
A01,SYBR,,Unkn,BO7,NaN,NaN
A02,SYBR,,Unkn,BO7,NaN,NaN
A03,SYBR,,Unkn,BO7,40.00779203,NaN
A04,SYBR,,Unkn,BO14,NaN,NaN
A05,SYBR,,Unkn,BO14,36.30067659,NaN
A06,SYBR,,Unkn,BO14,NaN,NaN
A08,SYBR,,Unkn,C27,NaN,NaN
A09,SYBR,,Unkn,C27,NaN,NaN
A10,SYBR,,Unkn,C27,NaN,NaN
A11,SYBR,,Unkn,C214,NaN,NaN
A12,SYBR,,Unkn,C214,NaN,NaN
A13,SYBR,,Unkn,C214,NaN,NaN
A15,SYBR,,Unkn,RD7,NaN,NaN
A16,SYBR,,Unkn,RD7,NaN,NaN
A17,SYBR,,Unkn,RD7,NaN,NaN
A18,SYBR,,Unkn,RD14,NaN,NaN
A19,SYBR,,Unkn,RD14,NaN,NaN
A20,SYBR,,Unkn,RD14,NaN,NaN
A24,SYBR,,Pos Ctrl,,18.35633047,NaN
B24,SYBR,,Pos Ctrl,,18.15285882,NaN
C01,SYBR,,Unkn,BO8,35.27343061,NaN
C02,SYBR,,Unkn,BO8,34.62495556,NaN
C03,SYBR,,Unkn,BO8,35.35708035,NaN
C04,SYBR,,Unkn,BO15,NaN,NaN
C05,SYBR,,Unkn,BO15,NaN,NaN
C06,SYBR,,Unkn,BO15,NaN,NaN
C08,SYBR,,Unkn,C28,NaN,NaN
C09,SYBR,,Unkn,C28,NaN,NaN
C10,SYBR,,Unkn,C28,NaN,NaN
C11,SYBR,,Unkn,C215,NaN,NaN
C12,SYBR,,Unkn,C215,35.81128529,NaN
C13,SYBR,,Unkn,C215,NaN,NaN
C15,SYBR,,Unkn,RD8,NaN,NaN
C16,SYBR,,Unkn,RD8,NaN,NaN
C17,SYBR,,Unkn,RD8,NaN,NaN
C18,SYBR,,Unkn,RD15,NaN,NaN
C19,SYBR,,Unkn,RD15,NaN,NaN
C20,SYBR,,Unkn,RD15,42.3753416,NaN
C24,SYBR,,Pos Ctrl,,18.05981561,NaN
E01,SYBR,,Unkn,BO9,NaN,NaN
E02,SYBR,,Unkn,BO9,NaN,NaN
E03,SYBR,,Unkn,BO9,35.54873409,NaN
E04,SYBR,,Unkn,BO16,NaN,NaN
E05,SYBR,,Unkn,BO16,36.08744477,NaN
E06,SYBR,,Unkn,BO16,NaN,NaN
E08,SYBR,,Unkn,C29,NaN,NaN
E09,SYBR,,Unkn,C29,NaN,NaN
E10,SYBR,,Unkn,C29,NaN,NaN
E11,SYBR,,Unkn,C216,NaN,NaN
E12,SYBR,,Unkn,C216,41.81510425,NaN
E13,SYBR,,Unkn,C216,NaN,NaN
E15,SYBR,,Unkn,RD9,NaN,NaN
E16,SYBR,,Unkn,RD9,NaN,NaN
E17,SYBR,,Unkn,RD9,NaN,NaN
E18,SYBR,,Unkn,RD16,NaN,NaN
E19,SYBR,,Unkn,RD16,NaN,NaN
E20,SYBR,,Unkn,RD16,NaN,NaN
G01,SYBR,,Unkn,BO11,44.94213355,NaN
G02,SYBR,,Unkn,BO11,NaN,NaN
G03,SYBR,,Unkn,BO11,NaN,NaN
G04,SYBR,,Unkn,BO17,37.53424334,NaN
G05,SYBR,,Unkn,BO17,NaN,NaN
G06,SYBR,,Unkn,BO17,35.13745217,NaN
G08,SYBR,,Unkn,C211,NaN,NaN
G09,SYBR,,Unkn,C211,NaN,NaN
G10,SYBR,,Unkn,C211,NaN,NaN
G11,SYBR,,Unkn,C217,NaN,NaN
G12,SYBR,,Unkn,C217,42.06686696,NaN
G13,SYBR,,Unkn,C217,NaN,NaN
G15,SYBR,,Unkn,RD11,NaN,NaN
G16,SYBR,,Unkn,RD11,NaN,NaN
G17,SYBR,,Unkn,RD11,NaN,NaN
G18,SYBR,,Unkn,RD17,36.01902493,NaN
G19,SYBR,,Unkn,RD17,NaN,NaN
G20,SYBR,,Unkn,RD17,NaN,NaN
I01,SYBR,,Unkn,BO12,NaN,NaN
I02,SYBR,,Unkn,BO12,NaN,NaN
I03,SYBR,,Unkn,BO12,NaN,NaN
I04,SYBR,,Unkn,BO18,NaN,NaN
I05,SYBR,,Unkn,BO18,NaN,NaN
I06,SYBR,,Unkn,BO18,NaN,NaN
I08,SYBR,,Unkn,C212,NaN,NaN
I09,SYBR,,Unkn,C212,NaN,NaN
I10,SYBR,,Unkn,C212,36.40204673,NaN
I11,SYBR,,Unkn,C218,NaN,NaN
I12,SYBR,,Unkn,C218,NaN,NaN
I13,SYBR,,Unkn,C218,43.97082155,NaN
I15,SYBR,,Unkn,RD12,NaN,NaN
I16,SYBR,,Unkn,RD12,NaN,NaN
I17,SYBR,,Unkn,RD12,NaN,NaN
I18,SYBR,,Unkn,RD18,NaN,NaN
I19,SYBR,,Unkn,RD18,NaN,NaN
I20,SYBR,,Unkn,RD18,NaN,NaN
K01,SYBR,,Unkn,BO13,NaN,NaN
K02,SYBR,,Unkn,BO13,NaN,NaN
K03,SYBR,,Unkn,BO13,NaN,NaN
K04,SYBR,,Unkn,BO19,35.04081996,NaN
K05,SYBR,,Unkn,BO19,NaN,NaN
K06,SYBR,,Unkn,BO19,40.51105711,NaN
K08,SYBR,,Unkn,C213,NaN,NaN
K09,SYBR,,Unkn,C213,NaN,NaN
K10,SYBR,,Unkn,C213,NaN,NaN
K11,SYBR,,Unkn,C219,NaN,NaN
K12,SYBR,,Unkn,C219,NaN,NaN
K13,SYBR,,Unkn,C219,NaN,NaN
K15,SYBR,,Unkn,RD13,NaN,NaN
K16,SYBR,,Unkn,RD13,NaN,NaN
K17,SYBR,,Unkn,RD13,NaN,NaN
K18,SYBR,,Unkn,RD19,NaN,NaN
K19,SYBR,,Unkn,RD19,NaN,NaN
K20,SYBR,,Unkn,RD19,36.02535998,NaN
O22,SYBR,,NTC,,NaN,NaN
O23,SYBR,,NTC,,NaN,NaN
O24,SYBR,,NTC,,NaN,NaN
