,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,BO_15i,31.9573535464092,NaN
,A02,SYBR,,Unkn,BO_15i,31.8895985006554,NaN
,A03,SYBR,,Unkn,BO_15i,31.7038915930397,NaN
,A05,SYBR,,Unkn,C2_9i,31.5746770765584,NaN
,A06,SYBR,,Unkn,C2_9i,31.2926645818265,NaN
,A07,SYBR,,Unkn,C2_9i,31.4705436434354,NaN
,A09,SYBR,,Unkn,RD_14i,31.3005978323933,NaN
,A10,SYBR,,Unkn,RD_14i,31.5804689387584,NaN
,A11,SYBR,,Unkn,RD_14i,31.41384211157,NaN
,A22,SYBR,,NTC,,NaN,NaN
,A23,SYBR,,NTC,,NaN,NaN
,A24,SYBR,,NTC,,NaN,NaN
,C01,SYBR,,Unkn,BO_18i,31.9980542029252,NaN
,C02,SYBR,,Unkn,BO_18i,31.7675445802066,NaN
,C03,SYBR,,Unkn,BO_18i,32.1473063137557,NaN
,C05,SYBR,,Unkn,C2_12i,31.4852519124398,NaN
,C06,SYBR,,Unkn,C2_12i,31.4031201017471,NaN
,C07,SYBR,,Unkn,C2_12i,31.2223938766741,NaN
,C09,SYBR,,Unkn,RD_18i,31.6440180568972,NaN
,C10,SYBR,,Unkn,RD_18i,31.290139702812,NaN
,C11,SYBR,,Unkn,RD_18i,31.3868773460983,NaN
,C22,SYBR,,Pos Ctrl,,31.6946238722631,NaN
,C23,SYBR,,Pos Ctrl,,31.3520086015397,NaN
,C24,SYBR,,Pos Ctrl,,31.0934187501192,NaN
,E01,SYBR,,Unkn,BO_11i,31.6157906427687,NaN
,E02,SYBR,,Unkn,BO_11i,33.2655917421069,NaN
,E03,SYBR,,Unkn,BO_11i,31.7037374631096,NaN
,E05,SYBR,,Unkn,C2_18i,31.5156898035404,NaN
,E06,SYBR,,Unkn,C2_18i,31.3572039854786,NaN
,E07,SYBR,,Unkn,C2_18i,31.3973023120484,NaN
,E09,SYBR,,Unkn,RD_12i,31.5938003366237,NaN
,E10,SYBR,,Unkn,RD_12i,31.2262909595741,NaN
,E11,SYBR,,Unkn,RD_12i,31.4107184290404,NaN
