Well,Fluor,Target,Content,Sample,Cq,SQ
A01,Cy5,,Unkn,BO7,24.86652426,NaN
A02,Cy5,,Unkn,BO7,24.91748948,NaN
A03,Cy5,,Unkn,BO7,24.76310811,NaN
A05,Cy5,,Unkn,C28,24.96334933,NaN
A06,Cy5,,Unkn,C28,25.040088,NaN
A07,Cy5,,Unkn,C28,25.04805412,NaN
A09,Cy5,,Unkn,RD9,25.18631732,NaN
A10,Cy5,,Unkn,RD9,25.09762665,NaN
A11,Cy5,,Unkn,RD9,25.19419175,NaN
A22,Cy5,,Pos Ctrl,E3,25.16338517,NaN
A23,Cy5,,Pos Ctrl,E3,25.14231128,NaN
A24,Cy5,,Pos Ctrl,E3,25.22616621,NaN
C01,Cy5,,Unkn,BO13,24.95505024,NaN
C02,Cy5,,Unkn,BO13,25.06792344,NaN
C03,Cy5,,Unkn,BO13,24.99515336,NaN
C05,Cy5,,Unkn,C215,25.02099667,NaN
C06,Cy5,,Unkn,C215,25.02592555,NaN
C07,Cy5,,Unkn,C215,25.09412662,NaN
C09,Cy5,,Unkn,RD14,24.98390255,NaN
C10,Cy5,,Unkn,RD14,25.00431428,NaN
C11,Cy5,,Unkn,RD14,25.01637085,NaN
C22,Cy5,,NTC,NTC,25.06252796,NaN
C23,Cy5,,NTC,NTC,24.95863544,NaN
C24,Cy5,,NTC,NTC,25.33858173,NaN
E01,Cy5,,Unkn,BO18,24.87980908,NaN
E02,Cy5,,Unkn,BO18,24.7782162,NaN
E03,Cy5,,Unkn,BO18,24.85315833,NaN
E05,Cy5,,Unkn,c212,25.01634097,NaN
E06,Cy5,,Unkn,c212,25.50238021,NaN
E07,Cy5,,Unkn,c212,24.9340169,NaN
E09,Cy5,,Unkn,RD16,25.11256151,NaN
E10,Cy5,,Unkn,RD16,25.30927944,NaN
E11,Cy5,,Unkn,RD16,25.25388363,NaN
A01,HEX,,Unkn,BO7,27.16571701,NaN
A02,HEX,,Unkn,BO7,27.2675148,NaN
A03,HEX,,Unkn,BO7,27.19636398,NaN
A05,HEX,,Unkn,C28,27.05719653,NaN
A06,HEX,,Unkn,C28,27.12722961,NaN
A07,HEX,,Unkn,C28,27.07999987,NaN
A09,HEX,,Unkn,RD9,27.08464312,NaN
A10,HEX,,Unkn,RD9,27.10289854,NaN
A11,HEX,,Unkn,RD9,27.20358019,NaN
A22,HEX,,Pos Ctrl,E3,26.85935299,NaN
A23,HEX,,Pos Ctrl,E3,26.89157322,NaN
A24,HEX,,Pos Ctrl,E3,26.66102539,NaN
C01,HEX,,Unkn,BO13,27.0534884,NaN
C02,HEX,,Unkn,BO13,27.10444147,NaN
C03,HEX,,Unkn,BO13,27.05752204,NaN
C05,HEX,,Unkn,C215,26.94387726,NaN
C06,HEX,,Unkn,C215,27.03454236,NaN
C07,HEX,,Unkn,C215,27.00694675,NaN
C09,HEX,,Unkn,RD14,26.95828355,NaN
C10,HEX,,Unkn,RD14,27.00255294,NaN
C11,HEX,,Unkn,RD14,26.97149852,NaN
C22,HEX,,NTC,NTC,NaN,NaN
C23,HEX,,NTC,NTC,NaN,NaN
C24,HEX,,NTC,NTC,NaN,NaN
E01,HEX,,Unkn,BO18,27.03263908,NaN
E02,HEX,,Unkn,BO18,27.07175433,NaN
E03,HEX,,Unkn,BO18,27.02870974,NaN
E05,HEX,,Unkn,C212,27.02390498,NaN
E06,HEX,,Unkn,C212,26.90853486,NaN
E07,HEX,,Unkn,C212,26.85997134,NaN
E09,HEX,,Unkn,RD16,26.88866551,NaN
E10,HEX,,Unkn,RD16,26.94547496,NaN
E11,HEX,,Unkn,RD16,26.96867645,NaN
