Well,Fluor,Target,Content,site,Cq,SQ,day
A01,Cy5,,Unkn,BO,25.90766273,NaN,
A02,Cy5,,Unkn,BO,25.85264116,NaN,
A03,Cy5,,Unkn,BO,25.6970818,NaN,
A04,Cy5,,Unkn,BO,25.57025284,NaN,
A05,Cy5,,Unkn,BO,25.63569331,NaN,
A06,Cy5,,Unkn,BO,25.60237218,NaN,
A08,Cy5,,Unkn,C2,25.91955321,NaN,
A09,Cy5,,Unkn,C2,25.82390086,NaN,
A10,Cy5,,Unkn,C2,25.92504094,NaN,
A11,Cy5,,Unkn,C2,25.85360807,NaN,
A12,Cy5,,Unkn,C2,25.91217382,NaN,
A13,Cy5,,Unkn,C2,25.82703466,NaN,
A15,Cy5,,Unkn,RD,25.98193833,NaN,
A16,Cy5,,Unkn,RD,25.99406851,NaN,
A17,Cy5,,Unkn,RD,25.8697307,NaN,
A18,Cy5,,Unkn,RD,25.84275598,NaN,
A19,Cy5,,Unkn,RD,25.97224041,NaN,
A20,Cy5,,Unkn,RD,25.91071921,NaN,
A24,Cy5,,Pos Ctrl,,25.47917967,NaN,
B24,Cy5,,Pos Ctrl,,25.45441792,NaN,
C01,Cy5,,Unkn,BO,26.28079695,NaN,
C02,Cy5,,Unkn,BO,25.87824724,NaN,
C03,Cy5,,Unkn,BO,25.924729,NaN,
C04,Cy5,,Unkn,8,25.46173188,NaN,
C05,Cy5,,Unkn,8,26.09602779,NaN,
C06,Cy5,,Unkn,8,25.56046261,NaN,
C08,Cy5,,Unkn,C2,25.88921063,NaN,
C09,Cy5,,Unkn,C2,25.8269251,NaN,
C10,Cy5,,Unkn,C2,25.7304924,NaN,
C11,Cy5,,Unkn,C2,25.57018042,NaN,
C12,Cy5,,Unkn,C2,25.56042727,NaN,
C13,Cy5,,Unkn,C2,25.5489001,NaN,
C15,Cy5,,Unkn,RD,25.74898417,NaN,
C16,Cy5,,Unkn,RD,25.80798623,NaN,
C17,Cy5,,Unkn,RD,25.74562333,NaN,
C18,Cy5,,Unkn,RD,25.63162283,NaN,
C19,Cy5,,Unkn,RD,25.63849433,NaN,
C20,Cy5,,Unkn,RD,25.53421265,NaN,
C24,Cy5,,Pos Ctrl,,25.42671826,NaN,
E01,Cy5,,Unkn,BO,25.63042096,NaN,
E02,Cy5,,Unkn,BO,25.669743,NaN,
E03,Cy5,,Unkn,BO,25.64893522,NaN,
E04,Cy5,,Unkn,BO,25.48003632,NaN,
E05,Cy5,,Unkn,BO,25.55677142,NaN,
E06,Cy5,,Unkn,BO,25.50049482,NaN,
E08,Cy5,,Unkn,C2,26.05833574,NaN,
E09,Cy5,,Unkn,C2,25.73339493,NaN,
E10,Cy5,,Unkn,C2,25.70624565,NaN,
E11,Cy5,,Unkn,C2,25.58991694,NaN,
E12,Cy5,,Unkn,C2,25.69985927,NaN,
E13,Cy5,,Unkn,C2,25.60096236,NaN,
E15,Cy5,,Unkn,RD,25.55455029,NaN,
E16,Cy5,,Unkn,RD,25.66852474,NaN,
E17,Cy5,,Unkn,RD,25.71056289,NaN,
E18,Cy5,,Unkn,RD,25.61807294,NaN,
E19,Cy5,,Unkn,RD,25.63757399,NaN,
E20,Cy5,,Unkn,RD,25.62845639,NaN,
G01,Cy5,,Unkn,BO,25.62017475,NaN,
G02,Cy5,,Unkn,BO,25.509836,NaN,
G03,Cy5,,Unkn,BO,25.41367587,NaN,
G04,Cy5,,Unkn,BO,25.52128298,NaN,
G05,Cy5,,Unkn,BO,25.46749799,NaN,
G06,Cy5,,Unkn,BO,25.4376504,NaN,
G08,Cy5,,Unkn,C2,25.62130699,NaN,
G09,Cy5,,Unkn,C2,25.6499248,NaN,
G10,Cy5,,Unkn,C2,25.74377039,NaN,
G11,Cy5,,Unkn,C2,25.57493246,NaN,
G12,Cy5,,Unkn,C2,25.47955009,NaN,
G13,Cy5,,Unkn,C2,25.67418278,NaN,
G15,Cy5,,Unkn,RD,25.54520986,NaN,
G16,Cy5,,Unkn,RD,25.56370653,NaN,
G17,Cy5,,Unkn,RD,25.56561873,NaN,
G18,Cy5,,Unkn,RD,25.62016921,NaN,
G19,Cy5,,Unkn,RD,25.54748077,NaN,
G20,Cy5,,Unkn,RD,25.47938198,NaN,
I01,Cy5,,Unkn,BO,25.68781393,NaN,
I02,Cy5,,Unkn,BO,25.73271822,NaN,
I03,Cy5,,Unkn,BO,25.55427582,NaN,
I04,Cy5,,Unkn,BO,25.58404375,NaN,
I05,Cy5,,Unkn,BO,25.53073365,NaN,
I06,Cy5,,Unkn,BO,25.42146911,NaN,
I08,Cy5,,Unkn,C2,25.57551388,NaN,
I09,Cy5,,Unkn,C2,25.67027763,NaN,
I10,Cy5,,Unkn,C2,25.57878322,NaN,
I11,Cy5,,Unkn,C2,25.71889147,NaN,
I12,Cy5,,Unkn,C2,25.61933621,NaN,
I13,Cy5,,Unkn,C2,25.65820077,NaN,
I15,Cy5,,Unkn,RD,25.52957124,NaN,
I16,Cy5,,Unkn,RD,25.67114282,NaN,
I17,Cy5,,Unkn,RD,25.60671465,NaN,
I18,Cy5,,Unkn,RD,25.37826496,NaN,
I19,Cy5,,Unkn,RD,25.481052,NaN,
I20,Cy5,,Unkn,RD,25.45798006,NaN,
K01,Cy5,,Unkn,BO,25.62539906,NaN,
K02,Cy5,,Unkn,BO,25.50908355,NaN,
K03,Cy5,,Unkn,BO,25.51579082,NaN,
K04,Cy5,,Unkn,BO,25.44771704,NaN,
K05,Cy5,,Unkn,BO,25.58349086,NaN,
K06,Cy5,,Unkn,BO,25.6681513,NaN,
K08,Cy5,,Unkn,C2,25.59176782,NaN,
K09,Cy5,,Unkn,C2,25.60463771,NaN,
K10,Cy5,,Unkn,C2,25.75193245,NaN,
K11,Cy5,,Unkn,C2,25.61024687,NaN,
K12,Cy5,,Unkn,C2,25.84399642,NaN,
K13,Cy5,,Unkn,C2,25.58521269,NaN,
K15,Cy5,,Unkn,RD,25.58290721,NaN,
K16,Cy5,,Unkn,RD,25.66264592,NaN,
K17,Cy5,,Unkn,RD,25.6351095,NaN,
K18,Cy5,,Unkn,RD,25.5617995,NaN,
K19,Cy5,,Unkn,RD,25.57584155,NaN,
K20,Cy5,,Unkn,RD,25.58799635,NaN,
O22,Cy5,,NTC,,25.84194397,NaN,
O23,Cy5,,NTC,,25.4534536,NaN,
O24,Cy5,,NTC,,25.85384195,NaN,
A01,HEX,,Unkn,BO,NaN,NaN,2
A02,HEX,,Unkn,BO,NaN,NaN,2
A03,HEX,,Unkn,BO,NaN,NaN,2
A04,HEX,,Unkn,BO,NaN,NaN,6
A05,HEX,,Unkn,BO,NaN,NaN,6
A06,HEX,,Unkn,BO,NaN,NaN,6
A08,HEX,,Unkn,C2,NaN,NaN,2
A09,HEX,,Unkn,C2,NaN,NaN,2
A10,HEX,,Unkn,C2,NaN,NaN,2
A11,HEX,,Unkn,C2,NaN,NaN,6
A12,HEX,,Unkn,C2,NaN,NaN,6
A13,HEX,,Unkn,C2,NaN,NaN,6
A15,HEX,,Unkn,RD,NaN,NaN,2
A16,HEX,,Unkn,RD,NaN,NaN,2
A17,HEX,,Unkn,RD,NaN,NaN,2
A18,HEX,,Unkn,RD,NaN,NaN,6
A19,HEX,,Unkn,RD,NaN,NaN,6
A20,HEX,,Unkn,RD,NaN,NaN,6
A24,HEX,,Pos Ctrl,,18.18281031,NaN,
B24,HEX,,Pos Ctrl,,18.18787172,NaN,
C01,HEX,,Unkn,BO,NaN,NaN,3
C02,HEX,,Unkn,BO,NaN,NaN,3
C03,HEX,,Unkn,BO,NaN,NaN,3
C04,HEX,,Unkn,BO,NaN,NaN,8
C05,HEX,,Unkn,BO,NaN,NaN,8
C06,HEX,,Unkn,BO,NaN,NaN,8
C08,HEX,,Unkn,C2,NaN,NaN,3
C09,HEX,,Unkn,C2,NaN,NaN,3
C10,HEX,,Unkn,C2,NaN,NaN,3
C11,HEX,,Unkn,C2,NaN,NaN,8
C12,HEX,,Unkn,C2,NaN,NaN,8
C13,HEX,,Unkn,C2,NaN,NaN,8
C15,HEX,,Unkn,RD,NaN,NaN,3
C16,HEX,,Unkn,RD,NaN,NaN,3
C17,HEX,,Unkn,RD,NaN,NaN,3
C18,HEX,,Unkn,RD,31.37221762,NaN,8
C19,HEX,,Unkn,RD,31.24278466,NaN,8
C20,HEX,,Unkn,RD,31.01045753,NaN,8
C24,HEX,,Pos Ctrl,,18.13742663,NaN,
E01,HEX,,Unkn,BO,NaN,NaN,4
E02,HEX,,Unkn,BO,NaN,NaN,4
E03,HEX,,Unkn,BO,NaN,NaN,4
E04,HEX,,Unkn,BO,NaN,NaN,9
E05,HEX,,Unkn,BO,NaN,NaN,9
E06,HEX,,Unkn,BO,NaN,NaN,9
E08,HEX,,Unkn,C2,NaN,NaN,4
E09,HEX,,Unkn,C2,NaN,NaN,4
E10,HEX,,Unkn,C2,NaN,NaN,4
E11,HEX,,Unkn,C2,NaN,NaN,9
E12,HEX,,Unkn,C2,NaN,NaN,9
E13,HEX,,Unkn,C2,NaN,NaN,9
E15,HEX,,Unkn,RD,NaN,NaN,4
E16,HEX,,Unkn,RD,NaN,NaN,4
E17,HEX,,Unkn,RD,NaN,NaN,4
E18,HEX,,Unkn,RD,NaN,NaN,9
E19,HEX,,Unkn,RD,NaN,NaN,9
E20,HEX,,Unkn,RD,NaN,NaN,9
G01,HEX,,Unkn,BO,NaN,NaN,511
G02,HEX,,Unkn,BO,NaN,NaN,511
G03,HEX,,Unkn,BO,NaN,NaN,511
G04,HEX,,Unkn,BO,NaN,NaN,10
G05,HEX,,Unkn,BO,NaN,NaN,10
G06,HEX,,Unkn,BO,NaN,NaN,10
G08,HEX,,Unkn,C2,NaN,NaN,511
G09,HEX,,Unkn,C2,NaN,NaN,511
G10,HEX,,Unkn,C2,NaN,NaN,511
G11,HEX,,Unkn,C2,NaN,NaN,10
G12,HEX,,Unkn,C2,NaN,NaN,10
G13,HEX,,Unkn,C2,32.48762981,NaN,10
G15,HEX,,Unkn,RD,NaN,NaN,511
G16,HEX,,Unkn,RD,NaN,NaN,511
G17,HEX,,Unkn,RD,NaN,NaN,511
G18,HEX,,Unkn,RD,NaN,NaN,10
G19,HEX,,Unkn,RD,NaN,NaN,10
G20,HEX,,Unkn,RD,NaN,NaN,10
I01,HEX,,Unkn,BO,NaN,NaN,520
I02,HEX,,Unkn,BO,NaN,NaN,520
I03,HEX,,Unkn,BO,NaN,NaN,520
I04,HEX,,Unkn,BO,NaN,NaN,11
I05,HEX,,Unkn,BO,NaN,NaN,11
I06,HEX,,Unkn,BO,NaN,NaN,11
I08,HEX,,Unkn,C2,NaN,NaN,520
I09,HEX,,Unkn,C2,NaN,NaN,520
I10,HEX,,Unkn,C2,NaN,NaN,520
I11,HEX,,Unkn,C2,NaN,NaN,11
I12,HEX,,Unkn,C2,NaN,NaN,11
I13,HEX,,Unkn,C2,NaN,NaN,11
I15,HEX,,Unkn,RD,NaN,NaN,520
I16,HEX,,Unkn,RD,NaN,NaN,520
I17,HEX,,Unkn,RD,NaN,NaN,520
I18,HEX,,Unkn,RD,NaN,NaN,11
I19,HEX,,Unkn,RD,44.49001402,NaN,11
I20,HEX,,Unkn,RD,NaN,NaN,11
K01,HEX,,Unkn,BO,NaN,NaN,524
K02,HEX,,Unkn,BO,NaN,NaN,524
K03,HEX,,Unkn,BO,NaN,NaN,524
K04,HEX,,Unkn,BO,NaN,NaN,12
K05,HEX,,Unkn,BO,NaN,NaN,12
K06,HEX,,Unkn,BO,NaN,NaN,12
K08,HEX,,Unkn,C2,NaN,NaN,524
K09,HEX,,Unkn,C2,NaN,NaN,524
K10,HEX,,Unkn,C2,NaN,NaN,524
K11,HEX,,Unkn,C2,NaN,NaN,12
K12,HEX,,Unkn,C2,NaN,NaN,12
K13,HEX,,Unkn,C2,NaN,NaN,12
K15,HEX,,Unkn,RD,NaN,NaN,524
K16,HEX,,Unkn,RD,NaN,NaN,524
K17,HEX,,Unkn,RD,NaN,NaN,524
K18,HEX,,Unkn,RD,NaN,NaN,12
K19,HEX,,Unkn,RD,NaN,NaN,12
K20,HEX,,Unkn,RD,NaN,NaN,12
O22,HEX,,NTC,,NaN,NaN,
O23,HEX,,NTC,,NaN,NaN,
O24,HEX,,NTC,,NaN,NaN,
