,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,,Unkn,BO_8,24.2150201097213,NaN
,A02,Cy5,,Unkn,BO_8,23.627862604516,NaN
,A03,Cy5,,Unkn,BO_8,23.7566750049433,NaN
,A05,Cy5,,Unkn,C2_8,23.5984464992166,NaN
,A06,Cy5,,Unkn,C2_8,24.0570792156938,NaN
,A07,Cy5,,Unkn,C2_8,23.997319561046,NaN
,A09,Cy5,,Unkn,RD_9,24.3932899088771,NaN
,A10,Cy5,,Unkn,RD_9,24.3267342752341,NaN
,A11,Cy5,,Unkn,RD_9,24.279352293243,NaN
,A22,Cy5,,Pos Ctrl,,24.6687536038053,NaN
,A23,Cy5,,Pos Ctrl,,24.0723752016305,NaN
,A24,Cy5,,Pos Ctrl,,24.4355371111066,NaN
,C01,Cy5,,Unkn,BO_13,24.2426466348558,NaN
,C02,Cy5,,Unkn,BO_13,24.0311173296411,NaN
,C03,Cy5,,Unkn,BO_13,23.7260428608455,NaN
,C05,Cy5,,Unkn,C2_12,23.9895476525073,NaN
,C06,Cy5,,Unkn,C2_12,22.7474208796375,NaN
,C07,Cy5,,Unkn,C2_12,23.8943500583772,NaN
,C09,Cy5,,Unkn,RD_17,24.1606933435925,NaN
,C10,Cy5,,Unkn,RD_17,24.0700765935732,NaN
,C11,Cy5,,Unkn,RD_17,24.1702588150991,NaN
,C22,Cy5,,NTC,,24.3138603301154,NaN
,C23,Cy5,,NTC,,23.1163888464315,NaN
,C24,Cy5,,NTC,,23.9696731933814,NaN
,E01,Cy5,,Unkn,BO_18,24.0647614610476,NaN
,E02,Cy5,,Unkn,BO_18,24.0447228865732,NaN
,E03,Cy5,,Unkn,BO_18,24.1601282823213,NaN
,E05,Cy5,,Unkn,C2_15,24.2020659249249,NaN
,E06,Cy5,,Unkn,C2_15,24.3565473893856,NaN
,E07,Cy5,,Unkn,C2_15,23.3673146831643,NaN
,E09,Cy5,,Unkn,RD_16,23.7775929251177,NaN
,E10,Cy5,,Unkn,RD_16,24.8253371010429,NaN
,E11,Cy5,,Unkn,RD_16,23.791198594584,NaN
,A01,HEX,,Unkn,BO_8,26.537666797198,NaN
,A02,HEX,,Unkn,BO_8,26.5177804730614,NaN
,A03,HEX,,Unkn,BO_8,26.4648579985847,NaN
,A05,HEX,,Unkn,C2_8,26.3894375765413,NaN
,A06,HEX,,Unkn,C2_8,26.3954072330205,NaN
,A07,HEX,,Unkn,C2_8,26.4543617945856,NaN
,A09,HEX,,Unkn,RD_9,26.4171382134909,NaN
,A10,HEX,,Unkn,RD_9,26.4487634494964,NaN
,A11,HEX,,Unkn,RD_9,26.5295543715739,NaN
,A22,HEX,,Pos Ctrl,,26.3701277629647,NaN
,A23,HEX,,Pos Ctrl,,26.2912899281347,NaN
,A24,HEX,,Pos Ctrl,,26.1742063285344,NaN
,C01,HEX,,Unkn,BO_13,26.4558421723553,NaN
,C02,HEX,,Unkn,BO_13,26.4239945751477,NaN
,C03,HEX,,Unkn,BO_13,26.4428086710093,NaN
,C05,HEX,,Unkn,C2_12,26.3287196125686,NaN
,C06,HEX,,Unkn,C2_12,26.3375893537558,NaN
,C07,HEX,,Unkn,C2_12,26.2789241985887,NaN
,C09,HEX,,Unkn,RD_17,26.2736819914654,NaN
,C10,HEX,,Unkn,RD_17,26.2854455364107,NaN
,C11,HEX,,Unkn,RD_17,26.2898221707937,NaN
,C22,HEX,,NTC,,NaN,NaN
,C23,HEX,,NTC,,NaN,NaN
,C24,HEX,,NTC,,NaN,NaN
,E01,HEX,,Unkn,BO_18,26.3027365178811,NaN
,E02,HEX,,Unkn,BO_18,26.3163526780704,NaN
,E03,HEX,,Unkn,BO_18,26.272355822377,NaN
,E05,HEX,,Unkn,C2_15,26.2483148955796,NaN
,E06,HEX,,Unkn,C2_15,26.25131366251,NaN
,E07,HEX,,Unkn,C2_15,26.2337362817071,NaN
,E09,HEX,,Unkn,RD_16,26.2422335250582,NaN
,E10,HEX,,Unkn,RD_16,26.2592976721625,NaN
,E11,HEX,,Unkn,RD_16,26.2533801664584,NaN
